Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,Auditory.SD,Gustatory.SD,Haptic.SD,Interoceptive.SD,Olfactory.SD,Visual.SD,Foot_leg.SD,Hand_arm.SD,Head.SD,Mouth.SD,Torso.SD,Max_strength.perceptual,Minkowski3.perceptual,Exclusivity.perceptual,Dominant.perceptual,Max_strength.action,Minkowski3.action,Exclusivity.action,Dominant.action,Max_strength.sensorimotor,Minkowski3.sensorimotor,Exclusivity.sensorimotor,Dominant.sensorimotor,N_known.perceptual,List_N.perceptual,Percent_known.perceptual,N_known.action,List_N.action,Percent_known.action,Mean_age.perceptual,Mean_age.action,List#.perceptual,List#.action
ABOLISH,2.12,0.24,0.96,1.12,0.16,2.32,0.315789474,0.947368421,2.526315789,1.105263158,0.368421053,2.027313493,0.663324958,1.593737745,1.6663333,0.553774924,2.014944168,1.157230006,1.747178176,1.866917276,1.523692038,1.211542924,2.32,2.897376938,0.312138728,Visual,2.526315789,2.640279971,0.42,Head,2.526315789,3.49600847,0.194228443,Head,25,26,0.961538462,19,21,0.904761905,37.12,37.15789474,PN_Sample_044.csv,MN_sample_044.csv
ABOLISHABLE,1.666666667,0,0.4,0.466666667,0,2.066666667,0.058823529,0.529411765,1.705882353,0.705882353,0.176470588,1.67616342,0,1.298350602,1.35576371,0,1.907379154,0.242535625,1.374665735,2.143732314,1.686887144,0.52859414,2.066666667,2.388265767,0.449275362,Visual,1.705882353,1.761956503,0.518518519,Head,2.066666667,2.672710935,0.265758951,Visual,15,17,0.882352941,17,17,1,36.33333333,40.35294118,PN_Sample_598.csv,MN_sample_598.csv
ABOLISHER,0.642857143,0.142857143,0.428571429,0.642857143,0.285714286,2.285714286,0.578947368,0.736842105,1.368421053,0.631578947,0.421052632,1.081817762,0.534522484,0.937614462,1.645840578,1.069044968,2.054210364,1.169795304,1.521771821,2.033347713,1.460993814,0.901590537,2.285714286,2.325610944,0.483870968,Visual,1.368421053,1.515855633,0.253521127,Head,2.285714286,2.523048148,0.262430939,Visual,14,16,0.875,19,20,0.95,35.76923077,35.36842105,PN_Sample_721.csv,MN_sample_721.csv
ABOLISHMENT,2.294117647,0,0.294117647,0.294117647,0,2.882352941,0.529411765,1.117647059,2.176470588,1.294117647,0.470588235,1.862951485,0,0.771743633,1.212678125,0,1.653872461,1.178857872,1.576481563,2.068673915,1.531531337,1.067570083,2.882352941,3.30410385,0.5,Visual,2.176470588,2.417350666,0.305263158,Head,2.882352941,3.688869198,0.25388601,Visual,17,18,0.944444444,17,17,1,37.52941176,42.64705882,PN_Sample_673.csv,MN_sample_673.csv
ABOLITION,0.727272727,0,0.272727273,1.181818182,0,1.272727273,0.714285714,1,2,1.142857143,0.5,1.272077756,0,0.646669791,1.887759615,0,1.902151891,1.266647388,1.414213562,1.664100589,1.511857892,0.940539943,1.272727273,1.602756331,0.368421053,Visual,2,2.222775986,0.28,Head,2,2.471644835,0.22697126,Head,11,16,0.6875,14,18,0.777777778,33.72727273,37.07142857,PN_Sample_146.csv,MN_sample_146.csv
ABOLITIONISM,2,0.058823529,0.117647059,0.823529412,0.058823529,1.764705882,0.428571429,0.714285714,2.142857143,1.5,0.428571429,1.936491673,0.242535625,0.332105582,1.333945938,0.242535625,1.95350364,1.342459609,1.489892687,2.213842565,1.951330907,1.342459609,2,2.41336167,0.402439024,Auditory,2.142857143,2.394926553,0.328767123,Head,2.142857143,3.029076299,0.20761825,Head,17,19,0.894736842,14,17,0.823529412,37,38,PN_Sample_487.csv,MN_sample_487.csv
ABOLITIONIST,2,0.083333333,0.5,0.416666667,0.166666667,2.166666667,0.272727273,0.181818182,1.636363636,1,0.545454545,1.758098146,0.288675135,1.243163121,0.792961461,0.389249472,1.898963034,0.904534034,0.603022689,2.01359019,1.61245155,1.213559752,2.166666667,2.638760638,0.390625,Visual,1.636363636,1.772657539,0.4,Head,2.166666667,2.882257526,0.232263514,Visual,12,16,0.75,11,17,0.647058824,33.66666667,40.27272727,PN_sample_11.csv,MN_sample_11.csv
ABOMINABLE,1.882352941,0.294117647,0.470588235,1.294117647,0.117647059,2.470588235,0.157894737,0.578947368,1.736842105,0.842105263,0.526315789,1.996320144,0.685994341,0.943242218,1.72353945,0.332105582,1.907801322,0.501459857,1.304513084,2.104020101,1.572795031,1.172292202,2.470588235,2.886430436,0.36036036,Visual,1.736842105,1.835147401,0.410958904,Head,2.470588235,3.115104446,0.226865672,Visual,17,19,0.894736842,19,20,0.95,39.17647059,33.63157895,PN_Sample_657.csv,MN_sample_657.csv
ABOMINABLENESS,2.727272727,0.454545455,0.636363636,1.636363636,0.545454545,3.727272727,0.764705882,0.823529412,3.058823529,1.352941176,0.411764706,1.954016842,1.507556723,1.566698904,1.963299634,1.507556723,1.848832555,1.521898969,1.333945938,1.951620744,1.868862504,0.795206226,3.727272727,4.253628905,0.336448598,Visual,3.058823529,3.180466474,0.412844037,Head,3.727272727,4.778813158,0.205434062,Visual,11,19,0.578947368,17,20,0.85,36.27272727,39.17647059,PN_Sample_608.csv,MN_sample_608.csv
ABOMINABLY,1.583333333,0.583333333,0.583333333,1.25,0.75,2.833333333,0.5,0.611111111,1.666666667,0.555555556,1.111111111,1.676486224,0.900336637,0.900336637,1.288057029,1.138180366,1.94624736,1.150447483,1.092158623,1.680336101,1.041617646,1.745208192,2.833333333,3.089408524,0.296703297,Visual,1.666666667,1.868746632,0.2625,Head,2.833333333,3.302317103,0.193995381,Visual,12,17,0.705882353,18,19,0.947368421,32.5,36.5,PN_Sample_190.csv,MN_sample_190.csv
