env,algorithm,config,run,mc_mean,mc_stddev
frozenlake,UCT,bias=2.000000,eps=0.100000,37,0.206731,0.328716
frozenlake,UCT,bias=2.000000,eps=0.100000,38,0.211105,0.331498
frozenlake,UCT,bias=2.000000,eps=0.100000,39,0.211752,0.332319
frozenlake,UCT,bias=2.000000,eps=0.100000,40,0.165697,0.304314
frozenlake,UCT,bias=2.000000,eps=0.100000,41,0.242908,0.343504
frozenlake,UCT,bias=2.000000,eps=0.100000,42,0.23047,0.340806
frozenlake,UCT,bias=2.000000,eps=0.100000,43,0.211769,0.332375
frozenlake,UCT,bias=2.000000,eps=0.100000,44,0.201415,0.327895
frozenlake,UCT,bias=2.000000,eps=0.100000,45,0.237157,0.342888
frozenlake,UCT,bias=2.000000,eps=0.100000,46,0.234163,0.342328
frozenlake,UCT,bias=2.000000,eps=0.100000,47,0.238018,0.340568
frozenlake,UCT,bias=2.000000,eps=0.100000,48,0.185526,0.318199
frozenlake,UCT,bias=2.000000,eps=0.100000,49,0.204078,0.328333
frozenlake,UCT,bias=2.000000,eps=0.500000,0,0.215253,0.333782
frozenlake,UCT,bias=2.000000,eps=0.500000,1,0.145039,0.286949
frozenlake,UCT,bias=2.000000,eps=0.500000,2,0.214379,0.332544
frozenlake,UCT,bias=2.000000,eps=0.500000,3,0.149287,0.29494
frozenlake,UCT,bias=2.000000,eps=0.500000,4,0.232222,0.339715
frozenlake,UCT,bias=2.000000,eps=0.500000,5,0.237672,0.34354
frozenlake,UCT,bias=2.000000,eps=0.500000,6,0.229972,0.340191
frozenlake,UCT,bias=2.000000,eps=0.500000,7,0.244664,0.34577
frozenlake,UCT,bias=2.000000,eps=0.500000,8,0.200726,0.326896
frozenlake,UCT,bias=2.000000,eps=0.500000,9,0.0325549,0.150512
frozenlake,UCT,bias=2.000000,eps=0.500000,10,0.0712057,0.208963
frozenlake,UCT,bias=2.000000,eps=0.500000,11,0.227143,0.339766
frozenlake,UCT,bias=2.000000,eps=0.500000,12,0.170281,0.308334
frozenlake,UCT,bias=2.000000,eps=0.500000,13,0.213347,0.331112
frozenlake,UCT,bias=2.000000,eps=0.500000,14,0.198138,0.323091
frozenlake,UCT,bias=2.000000,eps=0.500000,15,0.207578,0.329895
frozenlake,UCT,bias=2.000000,eps=0.500000,16,0.18674,0.320083
frozenlake,UCT,bias=2.000000,eps=0.500000,17,0.204096,0.328396
frozenlake,UCT,bias=2.000000,eps=0.500000,18,0.0139851,0.0982729
frozenlake,UCT,bias=2.000000,eps=0.500000,19,0.206346,0.328085
frozenlake,UCT,bias=2.000000,eps=0.500000,20,0.222297,0.336715
frozenlake,UCT,bias=2.000000,eps=0.500000,21,0.204925,0.32952
frozenlake,UCT,bias=2.000000,eps=0.500000,22,0.212311,0.333183
frozenlake,UCT,bias=2.000000,eps=0.500000,23,0.209317,0.332382
frozenlake,UCT,bias=2.000000,eps=0.500000,24,0.240492,0.343848
frozenlake,UCT,bias=2.000000,eps=0.500000,25,0.127195,0.272749
frozenlake,UCT,bias=2.000000,eps=0.500000,26,0.208775,0.331568
frozenlake,UCT,bias=2.000000,eps=0.500000,27,0.17973,0.316321
frozenlake,UCT,bias=2.000000,eps=0.500000,28,0.195852,0.323227
frozenlake,UCT,bias=2.000000,eps=0.500000,29,0.220227,0.333903
frozenlake,UCT,bias=2.000000,eps=0.500000,30,0.185858,0.318685
frozenlake,UCT,bias=2.000000,eps=0.500000,31,0.119808,0.26588
frozenlake,UCT,bias=2.000000,eps=0.500000,32,0.200061,0.325974
frozenlake,UCT,bias=2.000000,eps=0.500000,33,0.250984,0.347052
frozenlake,UCT,bias=2.000000,eps=0.500000,34,0.220725,0.334544
frozenlake,UCT,bias=2.000000,eps=0.500000,35,0.241689,0.345339
frozenlake,UCT,bias=2.000000,eps=0.500000,36,0.113488,0.261032
frozenlake,UCT,bias=2.000000,eps=0.500000,37,0.0511197,0.180562
frozenlake,UCT,bias=2.000000,eps=0.500000,38,0.200559,0.326662
frozenlake,UCT,bias=2.000000,eps=0.500000,39,0.185342,0.317891
frozenlake,UCT,bias=2.000000,eps=0.500000,40,0.02294,0.121076
frozenlake,UCT,bias=2.000000,eps=0.500000,41,0.0238405,0.126052
frozenlake,UCT,bias=2.000000,eps=0.500000,42,0.136998,0.279737
frozenlake,UCT,bias=2.000000,eps=0.500000,43,0.20215,0.329053
frozenlake,UCT,bias=2.000000,eps=0.500000,44,0.204043,0.328212
frozenlake,UCT,bias=2.000000,eps=0.500000,45,0.146231,0.285036
frozenlake,UCT,bias=2.000000,eps=0.500000,46,0.243616,0.344431
frozenlake,UCT,bias=2.000000,eps=0.500000,47,0.0404609,0.161143
frozenlake,UCT,bias=2.000000,eps=0.500000,48,0.222262,0.3366
frozenlake,UCT,bias=2.000000,eps=0.500000,49,0.180793,0.314346
frozenlake,UCT,bias=2.000000,eps=1.000000,0,0.00598737,0.0597231
frozenlake,UCT,bias=2.000000,eps=1.000000,1,0.00630249,0.0628664
frozenlake,UCT,bias=2.000000,eps=1.000000,2,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,3,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,4,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,5,0.00315125,0.0445654
frozenlake,UCT,bias=2.000000,eps=1.000000,6,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,7,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,8,0.00299368,0.0423371
frozenlake,UCT,bias=2.000000,eps=1.000000,9,0.0033171,0.0469109
frozenlake,UCT,bias=2.000000,eps=1.000000,10,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,11,0.00367546,0.0519788
frozenlake,UCT,bias=2.000000,eps=1.000000,12,0.0066342,0.0661751
frozenlake,UCT,bias=2.000000,eps=1.000000,13,0.0033171,0.0469109
frozenlake,UCT,bias=2.000000,eps=1.000000,14,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,15,0.00929618,0.0755426
frozenlake,UCT,bias=2.000000,eps=1.000000,16,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,17,0.00349169,0.0493799
frozenlake,UCT,bias=2.000000,eps=1.000000,18,0.00367546,0.0519788
frozenlake,UCT,bias=2.000000,eps=1.000000,19,0.00979418,0.0796638
frozenlake,UCT,bias=2.000000,eps=1.000000,20,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,21,0.0110264,0.0895764
frozenlake,UCT,bias=2.000000,eps=1.000000,22,0.0033171,0.0469109
frozenlake,UCT,bias=2.000000,eps=1.000000,23,0.00299368,0.0423371
frozenlake,UCT,bias=2.000000,eps=1.000000,24,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,25,0.0131375,0.0924721
frozenlake,UCT,bias=2.000000,eps=1.000000,26,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,27,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,28,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,29,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,30,0.00630249,0.0628664
frozenlake,UCT,bias=2.000000,eps=1.000000,31,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,32,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,33,0.00315125,0.0445654
frozenlake,UCT,bias=2.000000,eps=1.000000,34,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,35,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,36,0.00614493,0.0613151
frozenlake,UCT,bias=2.000000,eps=1.000000,37,0.00299368,0.0423371
frozenlake,UCT,bias=2.000000,eps=1.000000,38,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,39,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,40,0.0033171,0.0469109
frozenlake,UCT,bias=2.000000,eps=1.000000,41,0.00299368,0.0423371
frozenlake,UCT,bias=2.000000,eps=1.000000,42,0.00945374,0.0768006
frozenlake,UCT,bias=2.000000,eps=1.000000,43,0.00349169,0.0493799
frozenlake,UCT,bias=2.000000,eps=1.000000,44,0.00349169,0.0493799
frozenlake,UCT,bias=2.000000,eps=1.000000,45,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,46,0.00367546,0.0519788
frozenlake,UCT,bias=2.000000,eps=1.000000,47,0,0
frozenlake,UCT,bias=2.000000,eps=1.000000,48,0.00299368,0.0423371
frozenlake,UCT,bias=2.000000,eps=1.000000,49,0.0105022,0.0855334
frozenlake,UCT,bias=5.000000,eps=0.100000,0,0.087838,0.233512
frozenlake,UCT,bias=5.000000,eps=0.100000,1,0.161733,0.301466
frozenlake,UCT,bias=5.000000,eps=0.100000,2,0.228538,0.338191
frozenlake,UCT,bias=5.000000,eps=0.100000,3,0.0968075,0.246132
frozenlake,UCT,bias=5.000000,eps=0.100000,4,0.0922054,0.239577
