env,algorithm,run,trial,mc_mean,mc_stddev
taxi,UCT,10,20000,-30.42,32.3235
taxi,UCT,10,21000,-29.79,32.5173
taxi,UCT,10,22000,-31.87,31.7889
taxi,UCT,10,23000,-28.315,32.5935
taxi,UCT,10,24000,-28.11,31.872
taxi,UCT,10,25000,-31.01,31.5792
taxi,UCT,10,26000,-26.195,32.1508
taxi,UCT,10,27000,-24.605,31.9709
taxi,UCT,10,28000,-25.09,32.1015
taxi,UCT,10,29000,-26.49,32.2027
taxi,UCT,10,30000,-27.65,31.4754
taxi,UCT,11,1000,-57.845,16.5214
taxi,UCT,11,2000,-54.56,15.7428
taxi,UCT,11,3000,-52.985,16.3724
taxi,UCT,11,4000,-51.59,16.8312
taxi,UCT,11,5000,-52.04,15.2756
taxi,UCT,11,6000,-50.235,15.4533
taxi,UCT,11,7000,-50.675,16.6084
taxi,UCT,11,8000,-50.565,15.4632
taxi,UCT,11,9000,-49.16,16.1461
taxi,UCT,11,10000,-48.465,15.278
taxi,UCT,11,11000,-47.72,15.2682
taxi,UCT,11,12000,-46.895,15.3395
taxi,UCT,11,13000,-48.125,14.7689
taxi,UCT,11,14000,-48.71,15.6897
taxi,UCT,11,15000,-47.82,15.8367
taxi,UCT,11,16000,-47.135,14.8113
taxi,UCT,11,17000,-46.46,14.4542
taxi,UCT,11,18000,-45.74,14.6333
taxi,UCT,11,19000,-45.11,14.2543
taxi,UCT,11,20000,-45.605,14.6627
taxi,UCT,11,21000,-45.72,16.4528
taxi,UCT,11,22000,-45.515,15.9314
taxi,UCT,11,23000,-44.975,15.2969
taxi,UCT,11,24000,-44.165,15.9263
taxi,UCT,11,25000,-44.525,14.9061
taxi,UCT,11,26000,-44.345,15.0652
taxi,UCT,11,27000,-44.705,14.5484
taxi,UCT,11,28000,-46.145,15.0598
taxi,UCT,11,29000,-44.525,15.7557
taxi,UCT,11,30000,-43.985,16.3226
taxi,UCT,12,1000,-62.44,17.4896
taxi,UCT,12,2000,-58.825,19.6145
taxi,UCT,12,3000,-58.11,16.5817
taxi,UCT,12,4000,-57.305,15.5596
taxi,UCT,12,5000,-56.765,15.2793
taxi,UCT,12,6000,-55.955,16.8676
taxi,UCT,12,7000,-56.045,16.3281
taxi,UCT,12,8000,-55.435,16.1132
taxi,UCT,12,9000,-55.055,15.6119
taxi,UCT,12,10000,-52.715,14.6649
taxi,UCT,12,11000,-54.335,15.6296
taxi,UCT,12,12000,-52.375,16.0935
taxi,UCT,12,13000,-52.49,16.2103
taxi,UCT,12,14000,-51.135,16.0785
taxi,UCT,12,15000,-52.04,15.088
taxi,UCT,12,16000,-50.51,14.8199
taxi,UCT,12,17000,-50.96,15.566
taxi,UCT,12,18000,-49.61,14.8418
taxi,UCT,12,19000,-49.745,16.1198
taxi,UCT,12,20000,-46.745,16.913
taxi,UCT,12,21000,-48.645,17.0051
taxi,UCT,12,22000,-48.475,18.5499
taxi,UCT,12,23000,-46.98,19.6331
taxi,UCT,12,24000,-45.99,19.2367
taxi,UCT,12,25000,-47.965,19.0161
taxi,UCT,12,26000,-48.07,16.6581
taxi,UCT,12,27000,-47.805,15.1159
taxi,UCT,12,28000,-48.29,18.1815
taxi,UCT,12,29000,-47.8,17.7303
taxi,UCT,12,30000,-46.09,19.2926
taxi,UCT,13,1000,-60.86,15.5712
taxi,UCT,13,2000,-58.655,17.882
taxi,UCT,13,3000,-54.65,15.9817
taxi,UCT,13,4000,-54.785,17.3007
taxi,UCT,13,5000,-53.48,16.4191
taxi,UCT,13,6000,-51.375,16.1794
taxi,UCT,13,7000,-51.395,16.1957
taxi,UCT,13,8000,-51.305,16.0433
taxi,UCT,13,9000,-51.665,16.8521
taxi,UCT,13,10000,-49.475,15.2035
taxi,UCT,13,11000,-49.385,17.3665
taxi,UCT,13,12000,-48.215,16.4567
taxi,UCT,13,13000,-48.665,15.6556
taxi,UCT,13,14000,-48.17,14.9979
taxi,UCT,13,15000,-47.99,15.6481
taxi,UCT,13,16000,-47.36,15.4926
taxi,UCT,13,17000,-47.18,16.4884
taxi,UCT,13,18000,-47.645,15.3528
taxi,UCT,13,19000,-47.66,14.7619
taxi,UCT,13,20000,-45.83,14.473
taxi,UCT,13,21000,-46.1,16.0896
taxi,UCT,13,22000,-46.415,16.2676
taxi,UCT,13,23000,-45.74,14.4935
taxi,UCT,13,24000,-47.495,15.9931
taxi,UCT,13,25000,-45.92,14.5362
taxi,UCT,13,26000,-46.19,15.8137
