seed,batch_size,dim,in_dim,hidden_dim,dataset,n_samples,teacher_scale,weight_sigma,misranking_rd,tail_probe_rd,tail_ratio,variance_rel_sd,pred_noise_probe_switch
47,16,265,64,4,digits0,256,2.0,1.0,0.305,0.145,3.2890007622747266,0.20952975764208057,hetero
47,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
48,4,265,64,4,digits0,256,2.0,1.0,0.29,0.275,4.540654916664467,0.3509743560778444,robust
48,16,265,64,4,digits0,256,2.0,1.0,0.22999999999999998,0.23500000000000001,2.2389912336455664,0.22579420951523718,hetero
48,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
49,4,265,64,4,digits0,256,2.0,1.0,0.29500000000000004,0.19,6.338484579511718,0.8360084703464942,robust
49,16,265,64,4,digits0,256,2.0,1.0,0.15,0.25,2.6295306802939336,0.27196326922291275,hetero
49,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
50,4,265,64,4,digits0,256,2.0,1.0,0.315,0.32999999999999996,3.3801225603931,0.6464723277472942,hetero
50,16,265,64,4,digits0,256,2.0,1.0,0.23500000000000001,0.215,4.150201396657482,0.23627658431841478,robust
50,256,265,64,4,digits0,256,2.0,1.0,0.0,0.0,0.0,0.0,cma
