function,function_index,dimension,instance,best_f_cma,best_f_berw,label,misranking_rd,variance_rel_sd,pred_misranking,pred_variance
112,12,40,4,36.41521995,123.9961789,cma,0.0,0.0003042571401208533,cma,cma
112,12,40,5,36.17994412,36.73830937,cma,0.0,6.318119459470525e-06,cma,cma
112,12,40,6,36.16933547,37.38309395,cma,0.0,0.0,cma,cma
112,12,40,7,35.40709064,38.1189966,cma,0.0,1.3230281651883503e-05,cma,cma
112,12,40,8,104.8294034,39.78946911,berw,0.0,0.0,cma,cma
112,12,40,9,36.64051094,39.17125707,cma,0.0,6.445573686799624e-06,cma,cma
112,12,40,10,37.1251762,38.75660306,cma,0.0,1.3270290388861661e-06,cma,cma
112,12,40,11,36.58114683,54.52274539,cma,0.0,1.4031908082584315e-05,cma,cma
112,12,40,12,36.03072231,38.77141335,cma,0.0,5.679957952388651e-06,cma,cma
112,12,40,13,35.87793036,38.54939895,cma,0.0,5.15518730113958e-06,cma,cma
112,12,40,14,36.27257165,39.10661882,cma,0.0,6.929905569966681e-07,cma,cma
112,12,40,15,36.40405348,38.60010518,cma,0.0,5.54057753277726e-06,cma,cma
113,13,40,1,477.1431407,481.2833119,cma,0.23111111111111113,1.060509239540669,berw,berw
113,13,40,2,819.4613993,300.7373466,berw,0.2577777777777778,0.6065983506540121,berw,berw
113,13,40,3,500.4839346,350.6525557,berw,0.36444444444444446,0.7319162887918726,berw,berw
113,13,40,4,580.3000505,389.6118229,berw,0.28444444444444444,0.5123752389004012,berw,berw
113,13,40,5,376.3477716,593.584896,cma,0.3555555555555555,1.0625312608097102,berw,berw
113,13,40,6,474.9810627,463.4574616,berw,0.28444444444444444,0.7638645510693084,berw,berw
113,13,40,7,571.4245383,470.4708823,berw,0.21333333333333335,1.2442093151937137,berw,berw
113,13,40,8,935.0867631,669.5821169,berw,0.3288888888888889,1.2281206658925756,berw,berw
113,13,40,9,657.6003427,482.362616,berw,0.3111111111111111,0.7439881614238164,berw,berw
113,13,40,10,656.4164978,401.4569609,berw,0.3466666666666667,1.9042244514959894,berw,berw
113,13,40,11,391.3675839,754.1763232,cma,0.4533333333333333,0.7048901980753604,berw,berw
113,13,40,12,712.8546253,347.0778662,berw,0.3377777777777778,0.575265544506845,berw,berw
113,13,40,13,432.6099616,660.206922,cma,0.2755555555555556,0.5584581546744531,berw,berw
113,13,40,14,907.3706248,378.6940148,berw,0.3911111111111111,1.0030430518891653,berw,berw
113,13,40,15,377.103041,723.7010229,cma,0.3377777777777778,1.5843932376713659,berw,berw
114,14,40,1,855.3448517,941.1857971,cma,0.4088888888888889,1.1982456652444409,berw,berw
114,14,40,2,1376.990973,1097.387361,berw,0.2755555555555556,1.8541800844880112,berw,berw
114,14,40,3,1038.519939,780.6136498,berw,0.48000000000000004,2.0481500043633174,berw,berw
114,14,40,4,1152.700118,878.4441265,berw,0.36444444444444446,1.7570963935164687,berw,berw
114,14,40,5,963.2101147,928.1826466,berw,0.17777777777777776,1.1881793405153844,berw,berw
114,14,40,6,1057.820327,886.4502705,berw,0.32,1.5458597930477262,berw,berw
114,14,40,7,1018.971038,910.4571699,berw,0.36444444444444446,1.0921352328505456,berw,berw
114,14,40,8,981.0574243,1110.116731,cma,0.2577777777777778,1.5395214219209168,berw,berw
114,14,40,9,1254.084103,872.929904,berw,0.3022222222222222,1.1738765724562743,berw,berw
114,14,40,10,1160.619413,1069.923326,berw,0.29333333333333333,1.591975654826272,berw,berw
114,14,40,11,1194.356599,1087.161085,berw,0.4,1.7532886628022444,berw,berw
114,14,40,12,699.3966044,671.1535218,berw,0.28444444444444444,1.3115851569153616,berw,berw
114,14,40,13,1092.257038,892.8166348,berw,0.28444444444444444,1.4361197052439467,berw,berw
114,14,40,14,1059.341474,1401.180611,cma,0.3555555555555555,1.2207113761221953,berw,berw
114,14,40,15,1324.322464,1099.685723,berw,0.4,1.6085833188398944,berw,berw
115,15,40,1,39.19862401,19.46229749,berw,0.0,3.8861466287705306e-05,cma,cma
115,15,40,2,21.2349144,14.38698823,berw,0.0,0.00035557066293124125,cma,cma
115,15,40,3,14.14627829,35.75551783,cma,0.0,0.0006895762877495537,cma,cma
115,15,40,4,16.85074626,20.06105034,cma,0.0,5.70086927107729e-05,cma,cma
115,15,40,5,14.20293435,14.92821636,cma,0.0,0.00014753959372031732,cma,cma
115,15,40,6,27.08732532,14.14622175,berw,0.0,0.001068066951556834,cma,cma
