old,new,coverage_LAC,setsize_LAC,coverage_LAC_W,setsize_LAC_W,coverage_APS,setsize_APS,coverage_APS_W,setsize_APS_W
physics,computer science,0.9166666666666666,3.0922619047619047,0.9464285714285714,3.3214285714285716,1.0,4.6398809523809526,1.0,4.517857142857143
physics,business,0.9411764705882353,2.223529411764706,0.9705882352941176,2.5176470588235293,1.0,4.176470588235294,1.0,4.376470588235295
physics,law,0.8826086956521739,3.208695652173913,0.9434782608695652,3.5510869565217393,1.0,4.797826086956522,1.0,4.846739130434782
physics,health,0.8646734854445318,2.6191974822974036,0.9425649095200629,3.2108575924468923,1.0,4.439811172305271,1.0,4.426435877261999
culture,geography,0.825,2.1,0.8625,2.30625,0.9625,3.40625,0.9625,3.41875
culture,psychology,0.8249733191035219,2.35965848452508,0.8975453575240128,2.7406616862326576,0.983991462113127,3.606189967982924,0.983991462113127,3.606189967982924
culture,math,0.8911798396334479,3.3241695303550975,0.8865979381443299,3.3127147766323026,0.9965635738831615,4.028636884306987,0.997709049255441,4.072164948453608
culture,other,0.859392575928009,2.4150731158605176,0.9493813273340832,3.0179977502812148,0.983127109111361,3.4915635545556807,0.9752530933633295,3.421822272215973
culture,engineering,0.925,2.75,0.95,3.2083333333333335,1.0,3.75,1.0,3.716666666666667
culture,biology,0.824607329842932,2.387434554973822,0.900523560209424,2.7853403141361257,0.9921465968586387,3.68848167539267,0.9921465968586387,3.761780104712042
culture,politics,0.8330134357005758,2.362763915547025,0.982725527831094,3.476007677543186,0.9884836852207294,3.650671785028791,0.9884836852207294,3.658349328214971
culture,computer science,0.8630952380952381,2.7767857142857144,0.9345238095238095,3.199404761904762,0.9851190476190477,3.857142857142857,0.9851190476190477,3.8125
culture,business,0.9235294117647059,2.0088235294117647,0.9588235294117647,2.426470588235294,0.9911764705882353,3.211764705882353,0.9911764705882353,3.3058823529411763
culture,law,0.8260869565217391,2.872826086956522,0.8239130434782609,2.857608695652174,0.9934782608695653,4.020652173913043,0.9945652173913043,4.070652173913044
culture,health,0.8284815106215578,2.3926042486231314,0.9472856018882769,3.2871754523996852,0.982690794649882,3.676632572777341,1.0,4.632572777340677
geography,psychology,0.9103521878335112,2.823906083244397,0.9989327641408752,3.8826040554962646,0.9989327641408752,4.08324439701174,1.0,5.010672358591249
geography,math,0.9621993127147767,3.7754868270332187,0.9621993127147767,3.7754868270332187,1.0,4.376861397479955,1.0,4.586483390607102
geography,other,0.9325084364454443,2.8638920134983126,0.968503937007874,3.282339707536558,0.9977502812148481,4.0517435320584925,0.9988751406074241,4.431946006749157
geography,engineering,0.9583333333333334,3.2416666666666667,1.0,3.75,1.0,4.066666666666666,1.0,4.708333333333333
geography,biology,0.9109947643979057,2.8743455497382198,0.9581151832460733,3.2853403141361257,1.0,4.2539267015706805,1.0,4.369109947643979
geography,politics,0.9117082533589251,2.859884836852207,0.9904030710172744,3.598848368522073,1.0,4.0786948176583495,1.0,5.562380038387716
geography,computer science,0.9404761904761905,3.2470238095238093,0.9761904761904762,3.6636904761904763,0.9970238095238095,4.351190476190476,1.0,4.5773809523809526
geography,business,0.9558823529411765,2.4176470588235293,1.0,3.4794117647058824,1.0,3.838235294117647,1.0,5.432352941176471
geography,law,0.9282608695652174,3.4619565217391304,0.9282608695652174,3.4619565217391304,1.0,4.554347826086956,1.0,4.846739130434782
geography,health,0.9016522423288749,2.83477576711251,0.974822974036192,3.6270653029110935,0.999213217938631,4.206923682140047,0.999213217938631,4.349331235247837
psychology,math,0.9553264604810997,3.7422680412371134,1.0,6.0,1.0,4.293241695303551,1.0,6.0
psychology,other,0.9257592800899888,2.8200224971878516,0.953880764904387,3.073115860517435,0.9966254218222722,3.9505061867266593,0.9977502812148481,4.205849268841395
psychology,engineering,0.95,3.183333333333333,0.9916666666666667,3.5166666666666666,1.0,3.975,1.0,4.6
psychology,biology,0.9109947643979057,2.845549738219895,0.9424083769633508,3.2146596858638743,0.9973821989528796,4.164921465968586,1.0,4.657068062827225
psychology,politics,0.9059500959692899,2.8214971209213053,0.982725527831094,3.489443378119002,0.9980806142034548,4.007677543186181,1.0,4.585412667946257
psychology,computer science,0.9345238095238095,3.2142857142857144,0.9464285714285714,3.3482142857142856,0.9970238095238095,4.282738095238095,1.0,4.440476190476191
psychology,business,0.9558823529411765,2.3676470588235294,1.0,6.0,1.0,3.7441176470588236,1.0,6.0
psychology,law,0.9163043478260869,3.398913043478261,0.9652173913043478,3.6782608695652175,1.0,4.458695652173913,1.0,4.608695652173913
psychology,health,0.8937844217151849,2.791502753737215,0.9425649095200629,3.211644374508261,0.999213217938631,4.125098347757671,1.0,4.802517702596381
math,other,0.8661417322834646,2.454443194600675,0.9336332958380202,2.8796400449943755,0.9977502812148481,4.113610798650169,1.0,4.580427446569179
math,engineering,0.925,2.808333333333333,0.95,3.05,1.0,4.116666666666666,1.0,4.216666666666667
math,biology,0.8324607329842932,2.4214659685863875,0.8743455497382199,2.649214659685864,1.0,4.293193717277487,1.0,4.408376963350785
math,politics,0.836852207293666,2.383877159309021,1.0,6.0,1.0,4.136276391554702,1.0,6.0
math,computer science,0.875,2.818452380952381,0.9345238095238095,3.2261904761904763,0.9970238095238095,4.3898809523809526,1.0,4.75
math,business,0.9264705882352942,2.038235294117647,0.9705882352941176,2.6205882352941177,1.0,3.9176470588235293,1.0,4.4
math,law,0.8358695652173913,2.9228260869565217,0.9010869565217391,3.3195652173913044,1.0,4.6152173913043475,1.0,4.718478260869565
math,health,0.8316286388670339,2.4295830055074745,0.8725413060582219,2.6593233674272225,0.999213217938631,4.261998426435877,1.0,4.632572777340677
other,engineering,0.95,3.1,0.95,3.1083333333333334,1.0,4.008333333333334,1.0,4.1
other,biology,0.8848167539267016,2.696335078534031,0.9214659685863874,3.031413612565445,0.9973821989528796,4.18586387434555,1.0,4.604712041884817
other,politics,0.8886756238003839,2.677543186180422,0.9232245681381958,2.9193857965451055,0.9980806142034548,4.026871401151632,1.0,4.222648752399232
other,computer science,0.9166666666666666,3.1160714285714284,0.9464285714285714,3.3095238095238093,0.9970238095238095,4.303571428571429,1.0,4.568452380952381
other,business,0.9441176470588235,2.2470588235294118,0.9558823529411765,2.402941176470588,1.0,3.7794117647058822,1.0,3.9970588235294118
other,law,0.8891304347826087,3.253260869565217,1.0,6.0,1.0,4.4902173913043475,1.0,6.0
other,health,0.8709677419354839,2.6522423288749017,0.9071597167584579,2.886703383162864,0.999213217938631,4.155782848151063,1.0,4.472856018882769
engineering,biology,0.8115183246073299,2.2905759162303663,0.9109947643979057,2.863874345549738,1.0,4.327225130890052,1.0,4.861256544502618
engineering,politics,0.8234165067178503,2.280230326295585,0.9117082533589251,2.8502879078694816,1.0,4.18042226487524,1.0,4.408829174664107
engineering,computer science,0.8511904761904762,2.6845238095238093,0.9017857142857143,3.005952380952381,1.0,4.440476190476191,1.0,4.907738095238095
engineering,business,0.9147058823529411,1.9558823529411764,0.9735294117647059,2.6823529411764704,1.0,3.976470588235294,1.0,4.420588235294118
engineering,law,0.7902173913043479,2.732608695652174,0.9271739130434783,3.4565217391304346,1.0,4.659782608695652,1.0,4.851086956521739
engineering,health,0.8095987411487018,2.3044846577498035,0.9142407553107789,2.938630999213218,0.999213217938631,4.305271439811173,1.0,4.869394177812746
biology,politics,0.9021113243761996,2.775431861804223,0.9021113243761996,2.775431861804223,0.9980806142034548,3.986564299424184,1.0,4.211132437619962
biology,computer science,0.9345238095238095,3.193452380952381,0.9404761904761905,3.255952380952381,0.9940476190476191,4.2648809523809526,0.9910714285714286,4.089285714285714
biology,business,0.9558823529411765,2.3411764705882354,0.9588235294117647,2.426470588235294,1.0,3.7,1.0,3.8
biology,law,0.9021739130434783,3.341304347826087,1.0,4.493478260869566,1.0,4.4195652173913045,1.0,5.716304347826087
biology,health,0.8867033831628639,2.7380015735641225,0.926829268292683,3.037765538945712,0.998426435877262,4.089693154996066,1.0,4.909520062942565
politics,computer science,0.9345238095238095,3.1964285714285716,0.9523809523809523,3.4107142857142856,0.9940476190476191,4.273809523809524,1.0,4.738095238095238
politics,business,0.9558823529411765,2.3441176470588236,0.9411764705882353,2.226470588235294,1.0,3.7176470588235295,1.0,4.235294117647059
politics,law,0.9021739130434783,3.3434782608695652,0.9869565217391304,3.925,1.0,4.433695652173913,1.0,5.078260869565217
politics,health,0.8867033831628639,2.7403619197482296,0.9472856018882769,3.288749016522423,0.998426435877262,4.1070023603461845,1.0,4.833202202989772
computer science,business,0.9411764705882353,2.1941176470588237,0.9735294117647059,2.6411764705882352,0.9970588235294118,3.514705882352941,1.0,3.788235294117647
computer science,law,0.8771739130434782,3.1652173913043478,0.875,3.1467391304347827,0.9978260869565218,4.261956521739131,1.0,4.645652173913043
computer science,health,0.8583792289535799,2.5924468922108574,0.8599527930763179,2.6066089693154995,0.995279307631786,3.973249409913454,0.999213217938631,4.173878835562549
business,law,0.7630434782608696,2.621739130434783,0.9293478260869565,3.467391304347826,0.9978260869565218,4.28695652173913,1.0,4.784782608695652
business,health,0.7938630999213218,2.2250196695515343,0.9354838709677419,3.1628638867033834,0.996066089693155,3.983477576711251,0.999213217938631,4.200629425649095
law,health,0.8867033831628639,2.7340676632572776,1.0,6.0,0.997639653815893,4.011014948859166,1.0,6.0
