angles_pos_neutral,angles_pos_neg,angles_neg_neutral
0.3815289,0.42696762,0.5002894
0.3815289,0.42368582,0.48006245
0.20058846,0.476373,0.39126113
0.20058846,0.41930705,0.36548644
0.20058846,0.44560286,0.3707108
0.20058846,0.404261,0.3104341
0.3940382,0.43954018,0.62059844
0.3940382,0.4774862,0.4696234
0.3940382,0.4000519,0.48306805
0.3940382,0.4933512,0.58828425
0.43407175,0.43028313,0.56793237
0.43407175,0.38089746,0.44955137
0.43407175,0.5115603,0.4282828
0.43407175,0.33351442,0.4205774
0.45393568,0.43649253,0.30419654
0.4649703,0.476373,0.30419654
0.51532114,0.43954018,0.30419654
0.52095556,0.43028313,0.30419654
0.5013871,0.4555379,0.34690562
0.3073085,0.41930705,0.34690562
0.39472115,0.4774862,0.34690562
0.4797185,0.38089746,0.34690562
0.4509481,0.42696762,0.49508813
0.42070055,0.44560286,0.49508813
0.47012517,0.4000519,0.49508813
0.44905555,0.5115603,0.49508813
0.4516377,0.42368582,0.32820523
0.3575735,0.404261,0.32820523
0.44662362,0.4933512,0.32820523
0.24118078,0.33351442,0.32820523
0.45226568,0.47978884,0.54141986
0.45226568,0.65785503,0.62222195
0.45226568,0.574072,0.5554093
0.45226568,0.7446469,0.73249334
0.3461318,0.56045496,0.59519583
0.3461318,0.6391497,0.63071185
0.3461318,0.64865637,0.58597493
0.3461318,0.800577,0.7705171
0.3665942,0.6057383,0.60743284
0.3665942,0.6912296,0.74138737
0.3665942,0.59399676,0.56127095
0.3665942,0.75036883,0.7964026
0.07333395,0.6217629,0.5742764
0.07333395,0.7028487,0.6894721
0.07333395,0.5964941,0.54403436
0.07333395,0.7716283,0.7110475
0.5762085,0.47978884,0.38149947
0.5653896,0.56045496,0.38149947
0.5535972,0.6057383,0.38149947
0.55991346,0.6217629,0.38149947
0.52460635,0.65785503,0.5118823
0.57885075,0.6391497,0.5118823
0.54702747,0.6912296,0.5118823
0.5330222,0.7028487,0.5118823
0.46513256,0.574072,0.5684204
0.5218004,0.64865637,0.5684204
0.49335846,0.59399676,0.5684204
0.514865,0.5964941,0.5684204
0.5846921,0.7446469,0.49293652
0.48933926,0.800577,0.49293652
0.42299265,0.75036883,0.49293652
0.54221976,0.7716283,0.49293652
0.48325992,0.5750504,0.51038915
0.48325992,0.53240615,0.44688672
0.48325992,0.45389935,0.41190034
0.48325992,0.47789758,0.6183478
0.27218068,0.5101346,0.6454836
0.27218068,0.49262303,0.5325565
0.27218068,0.24658413,0.43006167
0.27218068,0.43302023,0.5225544
0.5222881,0.5570366,0.46382746
0.5222881,0.5395329,0.46863648
0.5222881,0.3475341,0.41571426
0.5222881,0.3745219,0.4764339
0.19870406,0.5072266,0.5347983
0.19870406,0.5346592,0.4762931
0.19870406,0.35732454,0.34652078
0.19870406,0.45540917,0.51803493
0.53856516,0.5750504,0.48435646
0.4938689,0.5101346,0.48435646
0.43794855,0.5570366,0.48435646
0.49021214,0.5072266,0.48435646
0.51821136,0.53240615,0.117183916
0.4574263,0.49262303,0.117183916
0.5343008,0.5395329,0.117183916
0.5606964,0.5346592,0.117183916
0.5076114,0.45389935,0.33336562
0.35294244,0.24658413,0.33336562
0.5081011,0.3475341,0.33336562
0.44484434,0.35732454,0.33336562
0.657031,0.47789758,0.69715
0.4849891,0.43302023,0.69715
0.60017043,0.3745219,0.69715
0.5632576,0.45540917,0.69715
0.2987587,0.48925477,0.4532199
0.2987587,0.6163125,0.5063557
0.2987587,0.6169033,0.471718
0.2987587,0.6433947,0.5126305
0.38747376,0.54772425,0.692441
0.38747376,0.6256004,0.4571374
0.38747376,0.65411425,0.6077932
0.38747376,0.6642227,0.6097144
0.44392845,0.6589065,0.6164011
0.44392845,0.6300156,0.52430415
0.44392845,0.66036105,0.6625911
0.44392845,0.6935459,0.65775955
0.33180428,0.6626593,0.44977048
0.33180428,0.50079495,0.5046827
0.33180428,0.580938,0.46729106
0.33180428,0.5746591,0.48041964
0.49622422,0.48925477,0.33818933
0.61123013,0.54772425,0.33818933
0.62979925,0.6589065,0.33818933
0.58699167,0.6626593,0.33818933
0.54853827,0.6163125,0.51680756
0.40527374,0.6256004,0.51680756
0.44569206,0.6300156,0.51680756
0.4394213,0.50079495,0.51680756
0.4939289,0.6169033,0.21565703
0.530865,0.65411425,0.21565703
0.564221,0.66036105,0.21565703
0.51204437,0.580938,0.21565703
0.5498059,0.6433947,0.52066314
0.4500652,0.6642227,0.52066314
0.38060734,0.6935459,0.52066314
0.4532098,0.5746591,0.52066314
0.2649094,0.5972897,0.432793
0.2649094,0.44515216,0.37194484
0.2649094,0.6421973,0.4011873
0.39897996,0.641405,0.7193468
0.39897996,0.4386844,0.38055035
0.39897996,0.6065407,0.5975704
0.4019829,0.65946305,0.48318002
0.4019829,0.4115696,0.3932685
0.4019829,0.5333876,0.46225935
0.36870924,0.5972897,0.63410413
0.37366846,0.641405,0.63410413
0.42698187,0.65946305,0.63410413
0.2646804,0.44515216,0.41118425
0.3382552,0.4386844,0.41118425
0.41518822,0.4115696,0.41118425
0.37310702,0.6421973,0.51627696
0.40686724,0.6065407,0.51627696
0.3170836,0.5333876,0.51627696
0.29338354,0.44170678,0.362622
0.29338354,0.51918846,0.38585472
0.29338354,0.6056434,0.53293645
0.36674666,0.5132283,0.52693844
0.36674666,0.24541679,0.49413386
0.36674666,0.38923186,0.5527655
0.18335068,0.54305387,0.5406263
0.18335068,0.40644622,0.45810676
0.18335068,0.43368432,0.4430144
0.39570016,0.44170678,0.5121863
0.5191669,0.5132283,0.5121863
0.5070471,0.54305387,0.5121863
0.40308696,0.51918846,0.34753487
0.44881493,0.24541679,0.34753487
0.4337541,0.40644622,0.34753487
