# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-FP8
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH_SPARSE24, dtype: fp8e4m3, outdtype: bf16, warmup=5, repeat=30, verify=True
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192), (3072, 2752), (2048, 2752), (16384, 2752), (2048, 10944), (3072, 3072), (2048, 3072), (16384, 3072), (2048, 12288), (3072, 3296), (2048, 3296), (16384, 3296), (2048, 13120)]
M,N,K,layout,tops,lat_us,alg_id,split_k,workspace
1024,3072,2752,TN_CC_Row,325.257141,53.232,2,-1,0
1024,3072,2752,TT_CR_Col,324.983612,53.277,2,1,0
1024,3072,2752,TT_CR_Row,325.126801,53.253,2,-1,0
1024,3072,3072,NN_RC_Col,348.148621,55.515,2,4,0
1024,3072,3072,NN_RC_Row,348.463257,55.465,2,2,0
1024,3072,3072,NT_RR_Col,348.021515,55.535,2,-1,0
1024,3072,3072,NT_RR_Row,348.530304,55.454,2,8,0
1024,3072,3072,TN_CC_Col,349.114532,55.361,2,8,0
1024,3072,3072,TN_CC_Row,348.215485,55.504,2,1,0
1024,3072,3072,TT_CR_Col,347.307770,55.649,2,1,0
1024,3072,3072,TT_CR_Row,348.356079,55.482,2,4,0
1024,3072,3296,NN_RC_Col,306.842163,67.581,0,2,0
1024,3072,3296,NN_RC_Row,306.798553,67.590,0,1,0
1024,3072,3296,NT_RR_Col,306.943939,67.558,0,2,0
1024,3072,3296,NT_RR_Row,306.716278,67.609,0,2,0
1024,3072,3296,TN_CC_Col,306.924500,67.563,0,8,0
1024,3072,3296,TN_CC_Row,306.764679,67.598,0,1,0
1024,3072,3296,TT_CR_Col,306.943939,67.558,0,-1,0
1024,3072,3296,TT_CR_Row,306.876068,67.573,0,-1,0
1024,16384,2048,NN_RC_Col,395.237518,173.869,2,4,0
1024,16384,2048,NN_RC_Row,395.800873,173.621,2,8,0
1024,16384,2048,NT_RR_Col,395.048523,173.952,2,2,0
1024,16384,2048,NT_RR_Row,395.392761,173.801,2,1,0
1024,16384,2048,TN_CC_Col,397.554535,172.855,2,1,0
1024,16384,2048,TN_CC_Row,395.866547,173.593,2,2,0
1024,16384,2048,TT_CR_Col,395.337006,173.825,2,-1,0
1024,16384,2048,TT_CR_Row,396.134338,173.475,2,-1,0
1024,16384,2752,NN_RC_Col,389.730469,236.938,2,4,0
1024,16384,2752,NN_RC_Row,391.563721,235.828,2,-1,0
1024,16384,2752,NT_RR_Col,390.088684,236.720,2,1,0
1024,16384,2752,NT_RR_Row,389.935852,236.813,2,4,0
1024,16384,2752,TN_CC_Col,391.877502,235.639,2,2,0
1024,16384,2752,TN_CC_Row,389.812927,236.887,2,-1,0
1024,16384,2752,TT_CR_Col,390.025421,236.758,2,1,0
1024,16384,2752,TT_CR_Row,391.937775,235.603,2,2,0
1024,16384,3072,NN_RC_Col,402.475433,256.113,2,-1,0
1024,16384,3072,NN_RC_Row,402.693451,255.974,2,1,0
1024,16384,3072,NT_RR_Col,402.482147,256.109,2,-1,0
1024,16384,3072,NT_RR_Row,402.685059,255.980,2,2,0
1024,16384,3072,TN_CC_Col,402.669983,255.989,2,-1,0
1024,16384,3072,TN_CC_Row,402.592804,256.038,2,-1,0
1024,16384,3072,TT_CR_Col,402.376556,256.176,2,2,0
1024,16384,3072,TT_CR_Row,402.560944,256.059,2,1,0
1024,16384,3296,NN_RC_Col,394.262634,280.512,0,4,0
1024,16384,3296,NN_RC_Row,394.367615,280.437,0,-1,0
1024,16384,3296,NT_RR_Col,395.412933,279.696,0,4,0
1024,16384,3296,NT_RR_Row,394.115784,280.617,0,2,0
