"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted"
"Weyaxi/OpenHermes-2.5-neural-chat-v3-2-Slerp",0.61168761750479,0.4217036318573,100,844,0.82,0.58368864136296
"abacusai/MetaMath-Bagel-DPO-34B",0.560706934068333,-0.133463683092268,100,844,0.76,0.533920231658162
"TeeZee/DarkSapling-7B-v1.1",0.573632144823334,0.0877795232953417,100,844,0.73,0.552614959987761
"BarraHome/Wistral-7B-Instruct-v0.3",0.537150759741022,-0.312026598642036,100,844,0.67,0.519294679061051
"rombodawg/Everyone-Coder-4x7b-Base",0.585886297594679,0.19679104622072,100,844,0.76,0.562483918239125
"ndavidson/cisco-iNAM-phi-sft",0.441731075274304,-1.37839135236631,100,844,0.5,0.433899230553108
"NovoCode/Novocode7b-v3",0.51298730213976,-0.529984392185462,100,844,0.6,0.501292047051018
"Gille/StrangeMerges_41-7B-dare_ties",0.571013949977718,0.0382913023886668,100,844,0.74,0.548300771211282
"venkycs/ZySec-7B-Adapter",0.567579723116824,-0.00742238393756283,100,844,0.74,0.544404954718547
"uukuguy/speechless-mistral-hermes-code-7b",0.515850563853432,-0.523318371233162,100,844,0.62,0.501851983726205
"davzoku/frankencria-llama2-11b-v1.3-m.1",0.401781406958826,-2.00005425209544,100,844,0.45,0.395300413270496
"VAGOsolutions/SauerkrautLM-Qwen-32b",0.483228094759127,-0.988077723698677,100,844,0.63,0.46350068814073
"uukuguy/speechless-thoughts-mistral-7b-v1.0",0.529496054346103,-0.368955203506023,100,844,0.64,0.514643373478644
"Sao10K/Frostwind-v2.1-m7",0.536738192113738,-0.317760378334358,100,844,0.67,0.518826658795692
"jambroz/sixtyoneeighty-4x7B-v1",0.555909149253232,-0.101698851844938,100,844,0.7,0.536542099421677
"BioMistral/BioMistral-7B",0.463582301355701,-1.11733601689412,100,844,0.54,0.45331110530136
"ibivibiv/multimaster-7b-v6",0.696596758184105,1.33074748888988,100,844,0.96,0.66119309664971
"allknowingroger/JupiterINEX12-12B-MoE",0.687600561069748,1.2098536259092,100,844,0.95,0.652331819278047
"nisten/shqiponja-15b-v1",0.61369352449487,0.473811104634856,100,844,0.8,0.588652331550632
"vonjack/phi-3-mini-4k-instruct-llamafied",0.475561665699697,-1.08093143008954,100,844,0.62,0.456147911089441
"Open-Orca/Mixtral-SlimOrca-8x7B",0.533997761289079,-0.421335709393578,100,844,0.71,0.510341546408579
"timdettmers/guanaco-33b-merged",0.491274284827791,-0.858482696449911,100,844,0.62,0.473972441390666
"mlabonne/FrankenMonarch-7B",0.668099478418923,0.989255313379746,100,844,0.91,0.635585967453725
"AA051615/A0305a",0.475970748332132,-0.990182195587754,100,844,0.57,0.463332408054192
"maywell/PiVoT-SUS-RP",0.544276905296937,-0.262399610410344,100,844,0.7,0.523346381815342
"TheBloke/orca_mini_v3_7B-GPTQ",0.405198593448789,-2.02814469359238,100,844,0.49,0.393800554933841
"rombodawg/Everyone-LLM-7b-Base",0.591338401221848,0.248882965606111,100,844,0.77,0.567324745472097
"ledjo/Gabriel-8x7B-Instruct-v0.1",0.567825531989179,-0.00412206173977215,100,844,0.74,0.544683802417832
"FuseAI/FuseChat-7B-Slerp",0.540796411249325,-0.277828616119227,100,844,0.68,0.522086251471008
"JaeyeonKang/CCK-v2.0-DPO",0.54452896362266,-0.291818160877406,100,844,0.72,0.520944146905275
"dawn17/StarlingMaid-2x7B-base",0.592262516516115,0.260092231905288,100,844,0.77,0.568373069811291
"jrruethe/balthazar-2x10.7b-v1",0.550132482079771,-0.246904630186587,100,844,0.74,0.524612654402321
"vicgalleorg/OpenHermes-Yi-9B",0.474391082055162,-0.96223191919116,100,844,0.54,0.465572679105587
