GPU,Model,M,cuBLASLt Latency (μs),2:4,2:6,2:8,2:10,2:12,2:14,2:16,2:∞
B200,Llama3.2-3B,1024,8.24e+01,1.22,1.04,0.95,0.87,0.88,0.79,0.85,0.79
B200,Llama3.2-3B,2048,1.43e+02,1.37,1.12,1.02,0.89,0.89,0.79,0.89,0.79
B200,Llama3.2-3B,4096,2.75e+02,1.56,1.24,1.12,0.98,0.99,0.87,0.97,0.86
B200,Llama3.2-3B,8192,5.41e+02,1.64,1.26,1.13,0.99,1.00,0.88,0.99,0.87
B200,Llama3.2-3B,16384,1.11e+03,1.72,1.32,1.20,1.06,1.04,0.92,1.03,0.92
B200,Qwen2.5-7B,64,6.08e+01,1.34,1.05,1.01,0.98,0.86,0.89,0.91,0.83
B200,Qwen2.5-7B,128,6.30e+01,1.33,1.02,0.99,0.96,0.84,0.87,0.87,0.81
B200,Qwen2.5-7B,256,7.33e+01,1.41,1.08,1.01,0.96,0.84,0.89,0.91,0.82
B200,Qwen2.5-7B,512,1.01e+02,1.37,1.03,1.01,0.98,0.80,0.87,0.89,0.80
B200,Qwen2.5-7B,1024,1.71e+02,1.49,1.12,1.07,1.01,0.86,0.94,0.93,0.84
B200,Qwen2.5-7B,2048,3.33e+02,1.58,1.13,1.12,1.05,0.84,0.93,0.98,0.86
B200,Qwen2.5-7B,4096,6.18e+02,1.60,1.13,1.09,1.04,0.86,0.93,0.95,0.86
B200,Qwen2.5-7B,8192,1.28e+03,1.75,1.22,1.15,1.09,0.93,1.01,0.99,0.89
B200,Qwen2.5-7B,16384,2.59e+03,1.79,1.26,1.18,1.13,0.93,1.02,1.07,0.90
B200,Qwen2.5-14B,64,6.84e+01,1.55,1.10,1.07,1.01,0.92,0.85,0.95,0.86
B200,Qwen2.5-14B,128,7.23e+01,1.51,1.13,1.09,1.06,0.90,0.86,0.96,0.87
B200,Qwen2.5-14B,256,7.80e+01,1.31,1.00,0.98,0.93,0.81,0.77,0.87,0.76
B200,Qwen2.5-14B,512,1.15e+02,1.34,1.06,1.02,0.96,0.84,0.79,0.89,0.79
B200,Qwen2.5-14B,1024,2.01e+02,1.47,1.07,1.03,0.97,0.82,0.77,0.89,0.80
B200,Qwen2.5-14B,2048,3.73e+02,1.59,1.16,1.09,1.03,0.90,0.85,0.94,0.83
B200,Qwen2.5-14B,4096,7.34e+02,1.72,1.23,1.16,1.07,0.94,0.86,0.98,0.86
B200,Qwen2.5-14B,8192,1.53e+03,1.85,1.32,1.25,1.16,1.01,0.94,1.06,0.92
B200,Qwen2.5-14B,16384,3.12e+03,1.84,1.28,1.19,1.14,1.01,0.94,1.05,0.92
RTX5080,Llama3.2-1B,64,5.57e+01,0.89,0.76,0.75,0.67,0.66,0.67,0.67,0.62
RTX5080,Llama3.2-1B,128,9.48e+01,1.22,1.00,0.95,0.88,0.85,0.85,0.84,0.76
RTX5080,Llama3.2-1B,256,1.62e+02,1.50,1.17,1.06,0.95,0.90,0.93,0.92,0.85
RTX5080,Llama3.2-1B,512,2.97e+02,1.56,1.20,1.11,1.01,0.94,0.96,0.98,0.88
RTX5080,Llama3.2-1B,1024,5.64e+02,1.64,1.24,1.15,1.06,1.00,1.00,1.00,0.89
RTX5080,Llama3.2-1B,2048,1.09e+03,1.69,1.29,1.15,1.08,1.03,1.03,1.00,0.88
RTX5080,Llama3.2-1B,4096,2.14e+03,1.70,1.29,1.17,1.09,1.03,1.03,1.00,0.89
RTX5080,Llama3.2-1B,8192,4.22e+03,1.70,1.28,1.15,1.09,1.03,1.02,1.00,0.88
RTX5080,Llama3.2-1B,16384,8.40e+03,1.69,1.29,1.15,1.08,1.02,1.01,1.00,0.87
RTX5080,BitNet-2B,64,6.17e+01,1.02,0.84,0.84,0.82,0.77,0.75,0.77,0.72
RTX5080,BitNet-2B,128,9.66e+01,1.28,0.98,0.96,0.94,0.87,0.84,0.86,0.79
RTX5080,BitNet-2B,256,1.72e+02,1.46,1.13,1.04,1.00,0.95,0.90,0.90,0.82
RTX5080,BitNet-2B,512,3.20e+02,1.60,1.15,1.12,1.07,1.00,0.96,0.96,0.86
RTX5080,BitNet-2B,1024,6.32e+02,1.70,1.27,1.17,1.11,1.05,1.01,1.00,0.89
RTX5080,BitNet-2B,2048,1.23e+03,1.71,1.29,1.17,1.10,1.06,1.02,1.00,0.89
RTX5080,BitNet-2B,4096,2.43e+03,1.73,1.28,1.17,1.11,1.06,1.01,1.00,0.89
RTX5080,BitNet-2B,8192,4.80e+03,1.72,1.27,1.15,1.09,1.05,1.00,0.99,0.87
RTX5080,BitNet-2B,16384,9.53e+03,1.70,1.25,1.15,1.08,1.03,0.98,0.98,0.87
RTX5080,Llama3.2-3B,64,8.99e+01,1.20,0.99,0.94,0.86,0.85,0.76,0.86,0.74
RTX5080,Llama3.2-3B,128,1.43e+02,1.44,1.14,1.03,0.96,0.95,0.88,0.95,0.83
RTX5080,Llama3.2-3B,256,2.53e+02,1.50,1.19,1.08,1.00,0.97,0.92,0.95,0.85
RTX5080,Llama3.2-3B,512,4.68e+02,1.61,1.26,1.12,1.02,1.02,0.95,0.98,0.85
RTX5080,Llama3.2-3B,1024,9.10e+02,1.73,1.32,1.17,1.07,1.06,1.01,1.00,0.88
RTX5080,Llama3.2-3B,2048,1.77e+03,1.71,1.30,1.17,1.08,1.06,1.03,1.00,0.89
RTX5080,Llama3.2-3B,4096,3.50e+03,1.73,1.32,1.16,1.08,1.07,1.03,1.00,0.88
RTX5080,Llama3.2-3B,8192,6.93e+03,1.72,1.30,1.16,1.07,1.05,1.03,1.00,0.88
RTX5080,Llama3.2-3B,16384,1.38e+04,1.71,1.30,1.16,1.07,1.05,1.01,1.00,0.87
RTX5080,Qwen2.5-7B,64,2.43e+02,1.47,1.12,0.99,0.90,0.81,0.76,0.76,0.67
RTX5080,Qwen2.5-7B,128,3.02e+02,1.52,1.19,1.06,0.94,0.89,0.88,0.87,0.76
