GPU,Model,M,cuBLASLt Latency (μs),2:4,2:6,2:8,2:10,2:12,2:14,2:16,2:∞
H100,BitNet-2B,512,1.25e+02,1.59,1.26,1.20,1.13,1.10,1.06,1.05,0.94
H100,BitNet-2B,1024,1.78e+02,1.32,1.05,1.01,0.93,0.88,0.85,0.84,0.79
H100,BitNet-2B,2048,3.27e+02,1.40,1.04,0.96,0.94,0.91,0.83,0.85,0.78
H100,BitNet-2B,4096,5.76e+02,1.31,1.02,0.92,0.88,0.84,0.78,0.80,0.72
H100,BitNet-2B,8192,1.13e+03,1.33,0.96,0.93,0.86,0.81,0.78,0.81,0.71
H100,BitNet-2B,16384,2.31e+03,1.29,0.94,0.90,0.83,0.79,0.75,0.77,0.67
H100,Llama3.2-3B,64,9.00e+01,1.96,1.54,1.29,1.22,1.19,1.15,1.18,1.09
H100,Llama3.2-3B,128,9.61e+01,1.85,1.42,1.27,1.18,1.17,1.08,1.15,1.03
H100,Llama3.2-3B,256,1.25e+02,1.76,1.37,1.24,1.15,1.13,1.04,1.11,1.02
H100,Llama3.2-3B,512,1.70e+02,1.62,1.24,1.18,1.06,1.03,0.97,1.04,0.91
H100,Llama3.2-3B,1024,2.43e+02,1.39,1.16,0.99,0.95,0.93,0.88,0.88,0.80
H100,Llama3.2-3B,2048,5.00e+02,1.59,1.25,1.16,1.05,1.03,0.94,0.99,0.85
H100,Llama3.2-3B,4096,8.84e+02,1.43,1.11,1.00,0.93,0.89,0.83,0.86,0.76
H100,Llama3.2-3B,8192,1.75e+03,1.50,1.14,1.01,0.90,0.87,0.77,0.86,0.74
H100,Llama3.2-3B,16384,3.67e+03,1.46,1.14,1.00,0.93,0.87,0.80,0.82,0.75
H100,Qwen2.5-7B,64,2.98e+02,2.94,2.26,2.10,1.96,1.90,1.90,1.84,1.66
H100,Qwen2.5-7B,128,3.06e+02,2.70,2.08,1.98,1.85,1.65,1.72,1.74,1.55
H100,Qwen2.5-7B,256,2.51e+02,1.80,1.34,1.31,1.23,1.12,1.14,1.11,1.02
H100,Qwen2.5-7B,512,3.33e+02,1.52,1.18,1.14,1.06,0.96,0.98,0.94,0.84
H100,Qwen2.5-7B,1024,5.43e+02,1.55,1.15,1.06,1.01,0.92,0.93,0.94,0.83
H100,Qwen2.5-7B,2048,1.06e+03,1.53,1.16,1.07,1.00,0.89,0.92,0.91,0.84
H100,Qwen2.5-7B,4096,2.38e+03,1.70,1.28,1.15,1.06,0.93,0.95,0.94,0.82
H100,Qwen2.5-7B,8192,4.59e+03,1.59,1.15,1.08,0.99,0.87,0.87,0.90,0.81
H100,Qwen2.5-7B,16384,9.16e+03,1.54,1.13,1.06,1.02,0.88,0.88,0.91,0.81
H100,Qwen2.5-14B,64,1.96e+02,1.85,1.41,1.26,1.26,1.14,1.10,1.14,0.97
H100,Qwen2.5-14B,128,2.65e+02,2.28,1.69,1.62,1.54,1.36,1.28,1.39,1.21
