experiment_id,dag_size,method,identifiability,adjustment_set,true_parents,nb_CI_tests
100_28,100,CMB,True,"['81', '86', '85']","['81', '85', '86']",175
100_28,100,MBbyMB,True,"['19', '72', '81', '86', '85', '48']","['81', '85', '86']",3012
100_29,100,locpc,True,"['9', '43', '17']","['9', '43']",825
100_29,100,ldecc,True,"['9', '85', '43']","['9', '43']",669
100_29,100,pc,True,"['43', '17', '9']","['9', '43']",16885
100_29,100,CMB,True,"['9', '43', '88']","['9', '43']",857
100_29,100,MBbyMB,True,"['9', '14', '27', '43', '74', '88', '4']","['9', '43']",4237
100_30,100,locpc,True,"['54', '85', '35', '19', '11']","['11', '19', '35', '54', '85']",1045
100_30,100,ldecc,True,"['35', '19', '54', '85', '11']","['11', '19', '35', '54', '85']",777
100_30,100,pc,True,"['85', '11', '54', '35', '19']","['11', '19', '35', '54', '85']",16904
100_30,100,CMB,True,"['11', '19', '54', '85', '35']","['11', '19', '35', '54', '85']",1177
100_30,100,MBbyMB,True,"['19', '55', '63', '54', '85']","['11', '19', '35', '54', '85']",6566
100_31,100,locpc,True,"['81', '14']","['14', '81']",473
100_31,100,ldecc,True,"['91', '81', '90', '57']","['14', '81']",677
100_31,100,pc,True,"['81', '14']","['14', '81']",17451
100_31,100,CMB,True,"['81', '90', '14']","['14', '81']",567
100_31,100,MBbyMB,True,"['81', '32', '14']","['14', '81']",1239
100_32,100,locpc,True,"['3', '37', '22']","['22', '37']",1400
100_32,100,ldecc,True,"['69', '22', '37']","['22', '37']",1772
100_32,100,pc,True,"['22', '37', '3']","['22', '37']",16779
100_32,100,CMB,True,['22'],"['22', '37']",1200
100_32,100,MBbyMB,True,"['37', '22']","['22', '37']",6954
100_33,100,locpc,True,[],"['10', '25', '91']",185
100_33,100,ldecc,True,"['91', '10']","['10', '25', '91']",324
100_33,100,pc,True,"['91', '10']","['10', '25', '91']",17421
100_33,100,CMB,True,"['10', '91', '17']","['10', '25', '91']",784
100_33,100,MBbyMB,True,"['10', '67', '74', '91', '35']","['10', '25', '91']",1525
100_34,100,locpc,True,[],"['13', '48']",181
100_34,100,ldecc,True,"['48', '13', '76', '30']","['13', '48']",2773
100_34,100,pc,True,"['30', '48', '76']","['13', '48']",18123
100_34,100,CMB,True,"['48', '76', '13', '30']","['13', '48']",957
100_34,100,MBbyMB,True,"['48', '49', '13']","['13', '48']",2723
100_35,100,locpc,True,"['32', '80']","['32', '80']",446
100_35,100,ldecc,True,"['32', '80']","['32', '80']",322
100_35,100,pc,True,"['32', '80']","['32', '80']",18539
100_35,100,CMB,True,"['32', '80']","['32', '80']",145
100_35,100,MBbyMB,True,"['32', '86', '80']","['32', '80']",1318
100_36,100,locpc,True,"['61', '63', '15']","['15', '61', '63']",822
100_36,100,ldecc,True,"['62', '63', '15']","['15', '61', '63']",606
100_36,100,pc,True,"['61', '15', '63']","['15', '61', '63']",19051
100_36,100,CMB,True,"['63', '65', '61']","['15', '61', '63']",948
100_36,100,MBbyMB,True,"['42', '63', '15', '61']","['15', '61', '63']",2802
100_37,100,locpc,True,"['78', '33', '37', '50']","['33', '37', '50', '78']",766
100_37,100,ldecc,True,"['4', '78', '76', '96', '37', '75']","['33', '37', '50', '78']",1049
100_37,100,pc,True,"['78', '33', '50', '37']","['33', '37', '50', '78']",17049
100_37,100,CMB,True,"['33', '37', '78', '50']","['33', '37', '50', '78']",224
100_37,100,MBbyMB,True,"['33', '49', '41', '50']","['33', '37', '50', '78']",5660
100_38,100,locpc,True,"['28', '23', '62', '48', '85']","['48', '85']",3237
100_38,100,ldecc,True,"['23', '60']","['48', '85']",13947
100_38,100,pc,True,"['28', '62', '48', '23', '85']","['48', '85']",21043
100_38,100,CMB,True,"['48', '85']","['48', '85']",148
100_38,100,MBbyMB,True,"['91', '53', '48', '11', '35', '85', '21']","['48', '85']",4088
100_39,100,locpc,True,"['10', '35', '45']","['10', '35']",658
100_39,100,ldecc,True,"['10', '35']","['10', '35']",370
100_39,100,pc,True,"['35', '45', '10']","['10', '35']",19507
100_39,100,CMB,True,"['10', '35', '69']","['10', '35']",597
100_39,100,MBbyMB,True,"['10', '35', '83', '16']","['10', '35']",1387
100_40,100,locpc,True,['56'],['56'],1822
100_40,100,ldecc,True,"['4', '18', '55', '39', '77']",['56'],5283
100_40,100,pc,True,['56'],['56'],14908
100_40,100,CMB,True,['56'],['56'],3863
100_40,100,MBbyMB,True,"['13', '56']",['56'],3829
100_41,100,locpc,True,"['85', '86', '9', '51']","['9', '85', '86']",729
100_41,100,ldecc,True,"['86', '9', '85']","['9', '85', '86']",420
100_41,100,pc,True,"['51', '9', '86', '85']","['9', '85', '86']",15470
100_41,100,CMB,True,"['9', '85', '86']","['9', '85', '86']",151
100_41,100,MBbyMB,True,"['9', '85', '60', '89', '86']","['9', '85', '86']",1623
100_42,100,locpc,True,"['59', '85']","['59', '85']",665
100_42,100,ldecc,True,"['85', '59']","['59', '85']",322
100_42,100,pc,True,"['59', '85']","['59', '85']",15706
100_42,100,CMB,True,"['59', '85']","['59', '85']",146
100_42,100,MBbyMB,True,"['27', '35', '59', '84', '85']","['59', '85']",2597
100_43,100,locpc,True,"['0', '69']","['0', '69']",763
100_43,100,ldecc,True,"['0', '28', '83']","['0', '69']",372
100_43,100,pc,True,"['0', '69']","['0', '69']",19519
100_43,100,CMB,True,['69'],"['0', '69']",6117
100_43,100,MBbyMB,True,"['0', '81', '47', '69', '8']","['0', '69']",2597
100_44,100,locpc,True,"['14', '80', '2', '59']","['38', '80']",833
100_44,100,ldecc,True,"['80', '14']","['38', '80']",2012
100_44,100,pc,True,"['14', '2', '59', '80']","['38', '80']",20759
100_44,100,CMB,True,['59'],"['38', '80']",7689
100_44,100,MBbyMB,True,"['16', '80']","['38', '80']",2107
100_45,100,locpc,True,['68'],['68'],1626
100_45,100,ldecc,True,"['19', '68']",['68'],3290
100_45,100,pc,True,['68'],['68'],19552
100_45,100,CMB,True,['68'],['68'],2180
100_45,100,MBbyMB,True,[],['68'],2653
100_46,100,locpc,True,[],['30'],881
100_46,100,ldecc,True,['40'],['30'],13196
100_46,100,pc,True,[],['30'],17303
100_46,100,CMB,True,['40'],['30'],2595
100_46,100,MBbyMB,True,['30'],['30'],2148
100_47,100,locpc,True,"['1', '35', '63']","['1', '35', '63']",659
100_47,100,ldecc,True,"['1', '63', '35']","['1', '35', '63']",386
100_47,100,pc,True,"['63', '35', '1']","['1', '35', '63']",21859
100_47,100,CMB,True,"['35', '63', '1']","['1', '35', '63']",162
100_47,100,MBbyMB,True,"['35', '63', '19', '74', '1', '89', '43']","['1', '35', '63']",2829
100_48,100,locpc,True,"['12', '31']","['12', '31']",495
