algorithm,seed,max_evals,evaluations,best_noisy,post_true,post_median,post_cvar20
ProbeSwitch-MR-Robust(t=0.22),2,200,200,0.008012408776365151,0.03792531999742971,0.034482162931558175,0.05873424422848206
ProbeSwitch-MR-Robust(t=0.22),3,200,200,0.1180297512991649,0.15060583496066798,0.15191101943492435,0.19119437994304755
ProbeSwitch-MR-Robust(t=0.22),4,200,200,0.001955473219408925,0.017215720099574925,0.011754950686021982,0.03894227917517817
ProbeSwitch-MR-Robust(t=0.22),5,200,200,0.0009220302260328805,0.0070550169657993145,0.005944755383360444,0.015581168412380787
ProbeSwitch-MR-Robust(t=0.22),6,200,200,0.009156556463595455,0.018057404060015995,0.016665103421019924,0.02984272521179864
ProbeSwitch-MR-Robust(t=0.22),7,200,200,0.001480970823158734,0.01387586736593727,0.012671520562876319,0.030300835082314844
ProbeSwitch-MR-Robust(t=0.22),8,200,200,0.005816372822327911,0.043206074525111646,0.036956790782453515,0.07917198240943003
ProbeSwitch-MR-Robust(t=0.22),9,200,200,0.001631088802274991,0.006470447032376599,0.004826172945573586,0.015165279814008744
ProbeSwitch-MR-Robust(t=0.22),10,200,200,0.0020118041374831506,0.05016540671696054,0.03699871463938878,0.11009676130107136
ProbeSwitch-MR-Robust(t=0.22),11,200,200,0.006191890311999346,0.03584555392955456,0.033592130266873285,0.06563806434465393
ProbeSwitch-MR-Robust(t=0.22),12,200,200,0.0011741373679916164,0.009143096828341187,0.007889040968112163,0.018679928751511938
ProbeSwitch-MR-Robust(t=0.22),13,200,200,0.009374785005006103,0.16776457557471233,0.16490994966894934,0.22883736331576895
ProbeSwitch-MR-Robust(t=0.22),14,200,200,0.0047064911821144495,0.019785708310439,0.01640183162206814,0.047130389003877934
ProbeSwitch-MR-Robust(t=0.22),15,200,200,0.0017339486531436719,0.017887270403999067,0.016552268262517503,0.028183142006860007
ProbeSwitch-MR-Robust(t=0.22),16,200,200,0.0022718956425084183,0.025730541418530047,0.020451531831621114,0.05898184847582927
ProbeSwitch-MR-Robust(t=0.22),17,200,200,0.07718132572985384,0.17147303449109869,0.17126008422129496,0.20032956225575313
ProbeSwitch-MR-Robust(t=0.22),18,200,200,0.002172774140420575,0.007616829874587757,0.005340185998319744,0.01820656504823629
ProbeSwitch-MR-Robust(t=0.22),19,200,200,0.009413408264981781,0.09482911913997316,0.09450442365278829,0.15055666802969375
ProbeSwitch-MR-Robust(t=0.22),20,200,200,0.025193572386998566,0.06209530189575213,0.05118608801261239,0.10650704063482995
ProbeSwitch-MR-Robust(t=0.22),21,200,200,0.004703425167081849,0.008294880738905119,0.007130128490518828,0.014777184472266688
ProbeSwitch-MR-Robust(t=0.22),22,200,200,0.01398628441147725,0.046131782382920164,0.04110618970150831,0.07180604630132567
ProbeSwitch-MR-Robust(t=0.22),23,200,200,0.05385171749938213,0.12199252657473156,0.1146516093485877,0.17687977050668494
ProbeSwitch-MR-Robust(t=0.22),24,200,200,0.006386493003822537,0.051293456998459414,0.042298039004793286,0.10041737795909968
ProbeSwitch-MR-Robust(t=0.22),25,200,200,0.001581482902623708,0.015097342481679146,0.012369617836887736,0.028691362612071922
ProbeSwitch-MR-Robust(t=0.22),26,200,200,0.013232623139515714,0.05351317694342647,0.05317343839971318,0.07124356070133082
ProbeSwitch-MR-Robust(t=0.22),27,200,200,0.002866808729642927,0.05384239011728982,0.046919031739323186,0.10752418385341245
ProbeSwitch-MR-Robust(t=0.22),28,200,200,0.018990314282713534,0.03579427383236025,0.03516570003549229,0.045465150460009866
ProbeSwitch-MR-Robust(t=0.22),29,200,200,0.009338051157276116,0.14982299000035376,0.130641217875605,0.3228778911297234
ProbeSwitch-MR-Robust(t=0.22),30,200,200,0.0015887824685367163,0.013798749081941463,0.010101298892362399,0.034714181565455596
ProbeSwitch-MR-Robust(t=0.22),31,200,200,0.022847036590582303,0.17476107802885252,0.17504734683816903,0.27217324232363027
ProbeSwitch-MR-Robust(t=0.22),32,200,200,0.0007996716243525964,0.048982200155711544,0.028178282251941564,0.13457075967444684
