"model","theta_atlas","se","num_items","time_sec"
"silvercoder45/Mistral-7b-instruct-v0.2-summ-dpo-e1",-0.503043111669276,0.110878978974121,30,1.70091438293457
"ZoidBB/MultiKory-0.1-4x11b-pre1",1.24983684845583,0.0600789338250951,30,1.70913577079773
"souvik0306/mistral_7b_2epoch_norobots",-0.299129129955187,0.108971067853119,30,1.68690657615662
"CultriX/MistralTrix-v1",1.15510760369553,0.063662632496766,30,1.68495893478394
"kyujinpy/Sakura-SOLRCA-Math-Instruct-DPO-v1",0.430837291695647,0.0651513232892524,30,1.72158718109131
"dreamgen/opus-v1-34b",-0.49879270888681,0.107560186506069,30,1.68948078155518
"LeroyDyer/Mixtral_AI_CyberCoder",-1.49534367065141,0.13695936934721,30,1.70812964439392
"Nekochu/Luminia-13B-v3",-1.72615529880599,0.142460175172595,30,1.74156165122986
"TeeZee/DarkSapling-7B-v1.0",-0.292653229203434,0.109555418569185,30,1.67750334739685
"Weyaxi/OpenHermes-2.5-neural-chat-v3-2-Slerp",0.49909382573658,0.0660451821822455,30,1.69850134849548
"abacusai/MetaMath-Bagel-DPO-34B",-0.293712206861364,0.110997301403235,30,1.75088667869568
"TeeZee/DarkSapling-7B-v1.1",-0.0153652639515665,0.105623919900188,30,1.68389225006104
"BarraHome/Wistral-7B-Instruct-v0.3",-0.420097394856337,0.109225291508194,30,1.68993878364563
"rombodawg/Everyone-Coder-4x7b-Base",0.0178656602726243,0.101912817511147,30,1.70414113998413
"ndavidson/cisco-iNAM-phi-sft",-1.36080453923471,0.139034866709559,30,1.67050528526306
"NovoCode/Novocode7b-v3",-0.386790819794164,0.109717115720468,30,1.68579435348511
"Gille/StrangeMerges_41-7B-dare_ties",0.0239659477881396,0.104005003175129,30,1.68008518218994
"venkycs/ZySec-7B-Adapter",-0.134273098497103,0.108686193086774,30,1.75618052482605
"uukuguy/speechless-mistral-hermes-code-7b",-0.368219592593085,0.108670761605789,30,1.70655941963196
"davzoku/frankencria-llama2-11b-v1.3-m.1",-2.00897413296166,0.139511606694921,30,1.73260283470154
"VAGOsolutions/SauerkrautLM-Qwen-32b",-0.792216114860752,0.141886759914014,30,1.74322152137756
"uukuguy/speechless-thoughts-mistral-7b-v1.0",-0.288633288865434,0.111624572970037,30,1.69662547111511
"Sao10K/Frostwind-v2.1-m7",-0.29857298935987,0.108743336105032,30,1.68183207511902
"jambroz/sixtyoneeighty-4x7B-v1",0.189042426546263,0.0809851408011023,30,1.74239349365234
"BioMistral/BioMistral-7B",-1.14188143414798,0.156744975953054,30,1.65134477615356
"ibivibiv/multimaster-7b-v6",1.41089000035247,0.0636463232780465,30,1.69123673439026
"allknowingroger/JupiterINEX12-12B-MoE",1.24863600467087,0.0607631712009037,30,1.76756930351257
"nisten/shqiponja-15b-v1",0.497334307463774,0.0657032971061348,30,1.69135403633118
"vonjack/phi-3-mini-4k-instruct-llamafied",-0.920321203247027,0.13211726808068,30,1.66702890396118
"Open-Orca/Mixtral-SlimOrca-8x7B",0.0962918277655481,0.100545141052172,30,1.75468945503235
"timdettmers/guanaco-33b-merged",-0.69722219539885,0.132217224023951,30,1.69498229026794
"mlabonne/FrankenMonarch-7B",1.25041337579205,0.0597751443840155,30,1.6917576789856
"AA051615/A0305a",-0.916301238014137,0.134166148277944,30,1.74752354621887
"maywell/PiVoT-SUS-RP",-0.397462366450109,0.111860580704733,30,1.69512128829956
"TheBloke/orca_mini_v3_7B-GPTQ",-1.9615494592025,0.139029717959271,30,1.62838745117188
"rombodawg/Everyone-LLM-7b-Base",0.235758617955417,0.0755593951945659,30,1.7381751537323
"ledjo/Gabriel-8x7B-Instruct-v0.1",-0.0837302442135162,0.107804281514741,30,1.68368744850159
"FuseAI/FuseChat-7B-Slerp",0.016411508381142,0.105617576026871,30,1.68550992012024
"JaeyeonKang/CCK-v2.0-DPO",-0.0925480899783729,0.109945174554706,30,1.72005462646484
"dawn17/StarlingMaid-2x7B-base",0.221672946148861,0.0801031998814105,30,1.72782611846924
"jrruethe/balthazar-2x10.7b-v1",0.226842962532789,0.0800659042067987,30,1.65517640113831
"vicgalleorg/OpenHermes-Yi-9B",-0.925507909703354,0.13497089246229,30,1.6883556842804
"DreadPoor/Griffon-7B-Model_Stock",1.24978822792617,0.062450655859867,30,1.70523500442505
"cloudyu/Mixtral-8x7B-Instruct-v0.1-DPO",-0.00863124261911279,0.104382308561717,30,1.69742250442505
"ShenaoZhang/0.001_4iters_bs256_nodpo_only4w_userresponse_iter_4",0.0166777226682037,0.106359740418193,30,1.68318200111389
"TeeZee/GALAXY_v03_slimorca_1_epoch_50k_DPO_1_epoch_30k",-0.35105593661905,0.1202074474891,30,1.7257924079895
"hfl/chinese-mixtral-instruct",-0.263365628071164,0.11649710964355,30,1.68581247329712
"saucam/mistral-orpo-beta-NeuralBeagle14-7B-dare-ties",0.240631170990166,0.0782857524305432,30,1.69194865226746
"0-hero/Matter-0.1-Slim-7B-B",-0.28044242203182,0.108870896678875,30,1.72117304801941
"Sao10K/Skadi-Mixtral-v1",-0.0318182023808881,0.117864343000584,30,1.68809056282043
"maldv/SFR-Iterative-DPO-LLaMA-3-8B-R",-0.728704700589708,0.135310468366478,30,1.67182970046997
"uproai/Rose-2x7B",0.118843545013795,0.0932105325227476,30,1.70067167282104
"tenyx/Llama3-TenyxChat-70B",-0.332298849796761,0.120062629881543,30,1.75546908378601
"Vasanth/Valor_Macaroni_moe",0.845197131657769,0.0589346708558674,30,1.68906402587891
"jsfs11/MixtureofMerges-MoE-4x7b-v3",1.45589929755239,0.0649885563377413,30,1.69310140609741
"NeuralNovel/Senzu-7B-v0.1-DPO",-0.00700636720395025,0.106117029986483,30,1.73011636734009
"allknowingroger/LimyQstar-7B-slerp",0.295089963687874,0.0745302075878658,30,1.68735003471375
"WebraftAI/synapsellm-7b-mistral-v0.4-preview3",-1.58814364641152,0.14435749747426,30,1.71296977996826
"Undi95/X-MythoChronos-13B",-0.588088878454293,0.119085135225401,30,1.68782377243042
"GreenNode/GreenNodeLM-7B-v4leo",0.901343194076447,0.0589884706135048,30,1.67981052398682
"uukuguy/speechless-thoughts-mistral-7b",-0.434111696153865,0.107437328323928,30,1.67518830299377
"RatanRohith/NeuralPizza-WestSeverus-7B-Merge-slerp",1.0006804578707,0.0625507617320034,30,1.7124297618866
"nbeerbower/bophades-mistral-7B",0.747346283401032,0.0612167084031136,30,1.67377257347107
"Xenon1/Xenon-3",-0.88102814286787,0.13476604841226,30,1.68706798553467
"CohereForAI/c4ai-command-r-plus",-0.295828128977619,0.116805873723531,30,1.73065733909607
"jingyeom/KoSoLAR-10.7B-v0.2_1.4_dedup",-1.08303578180811,0.153197616775673,30,1.67848801612854
"nbeerbower/HeroBophades-2x7B",1.99055726023443,0.159489243856006,30,1.64598107337952
"allknowingroger/mergekit-slerp-zplzqvn",2.44988622581235,0.264167023048803,30,1.74062275886536
"jukofyork/Dark-Miqu-70B",-0.215095864511463,0.110856323794589,30,1.67296385765076
"ZhangShenao/0.0005_llama_4iters_bs128_5551lr_iter_2",-0.968484465778417,0.137964233162122,30,1.67578125
"yunconglong/10.7Bx2_DPO_200",0.4278468456467,0.0706256163694282,30,1.66919779777527
"922CA/Silicon-Monika-7b",0.019542313974568,0.10482641634288,30,1.70079207420349
"senseable/garten2-7b",0.744570288352086,0.0591679410325421,30,1.70126509666443
"NovoCode/Mistral-NeuralDPO-v0.2",0.0642011425158588,0.105293700473045,30,1.68868017196655
"ZhangShenao/0.0005_llama_4iters_bs128_5551lr_iter_1",-1.00345871455866,0.136792320858937,30,1.67901182174683
"ResplendentAI/Aura_L3_8B",-0.885854936682402,0.131734235979916,30,1.70122861862183
"lodrick-the-lafted/Grafted-Hermetic-Platypus-C-2x7B",-0.631535110915374,0.12045086538734,30,1.70423293113708
"Kukedlc/NeuTrixOmniBe-7B-model-remix",2.01488127839196,0.164928625947041,30,1.7381763458252
"walebadr/Mistral-7B-v0.1-DPO",-1.83362607599961,0.157138706013661,30,1.68705177307129
"mergedlm/zephyrnotus-11b-alpha",-0.31104188442876,0.112435674375278,30,1.67735958099365
"FelixChao/Capricorn-7B",1.24914217741665,0.0602022107031488,30,1.73553204536438
"Joseph717171/Mistral-12.25B-v0.2",-0.675628314655849,0.132797736206732,30,1.64333271980286
"louisgrc/Montebello_7B_SLERP",1.80829267699289,0.125226819022825,30,1.62969827651978
"arcee-ai/Clown-DPO-Extended",1.87777170091055,0.138425873504341,30,1.7382595539093
"ericpolewski/AIRIC-The-Intern",-1.31917441448657,0.138985493986084,30,1.68725895881653
"ArianAskari/SOLID-SFT-DPO-MixQV3-SOLIDChosen-SFTRejected-Zephyr-7b-beta",-0.471450171172758,0.109709419223555,30,1.72460079193115
"cloudyu/Truthful_DPO_cloudyu_Mixtral_34Bx2_MoE_60B",0.15366999036508,0.0994520101272122,30,1.75588965415955
"BioMistral/BioMistral-7B-TIES",-1.03999847452148,0.139467792067253,30,1.68328952789307
