GPU,Model,M,cuSPARSELt 2:4 Latency (μs),Eff_2:6,Eff_2:8,Eff_2:10,Eff_2:12,Eff_2:14,Eff_2:16,Eff_2:∞
GB10,BitNet-2B,256,1.64e+02,80.1%,85.2%,85.6%,77.5%,75.7%,78.1%,77.9%
GB10,BitNet-2B,512,2.91e+02,83.6%,97.5%,100.3%,90.4%,90.1%,95.9%,93.8%
GB10,BitNet-2B,1024,6.05e+02,101.2%,108.5%,108.9%,112.3%,108.2%,108.0%,107.8%
GB10,BitNet-2B,2048,1.11e+03,95.5%,103.4%,103.8%,103.6%,100.8%,102.9%,104.1%
GB10,BitNet-2B,4096,2.22e+03,92.9%,103.4%,102.6%,100.0%,93.4%,97.8%,100.7%
GB10,BitNet-2B,8192,4.48e+03,95.0%,103.6%,104.7%,103.1%,99.9%,103.2%,105.0%
GB10,BitNet-2B,16384,8.97e+03,94.7%,104.3%,104.3%,101.4%,98.1%,102.7%,104.3%
GB10,Llama3.2-3B,64,1.50e+02,71.9%,75.9%,60.4%,66.4%,53.3%,71.9%,63.1%
GB10,Llama3.2-3B,128,1.91e+02,79.7%,80.1%,69.0%,75.2%,65.5%,80.6%,70.6%
GB10,Llama3.2-3B,256,2.64e+02,92.6%,91.7%,78.8%,87.2%,71.1%,93.4%,83.9%
GB10,Llama3.2-3B,512,4.19e+02,100.2%,99.4%,90.2%,89.3%,87.1%,102.5%,92.8%
GB10,Llama3.2-3B,1024,7.87e+02,100.6%,97.5%,101.1%,99.2%,91.5%,100.9%,99.4%
GB10,Llama3.2-3B,2048,1.53e+03,101.9%,102.2%,99.9%,96.6%,86.3%,100.3%,94.3%
GB10,Llama3.2-3B,4096,3.10e+03,100.4%,102.0%,97.1%,94.4%,89.1%,100.3%,100.0%
GB10,Llama3.2-3B,8192,6.24e+03,101.4%,102.7%,100.8%,99.3%,89.2%,100.7%,100.0%
GB10,Llama3.2-3B,16384,1.26e+04,103.1%,104.3%,99.9%,99.3%,91.2%,103.0%,102.1%
GB10,Qwen2.5-7B,64,6.55e+02,75.9%,95.9%,94.2%,74.9%,89.0%,96.4%,97.5%
GB10,Qwen2.5-7B,128,6.92e+02,78.8%,98.0%,93.6%,75.8%,87.7%,98.4%,97.7%
GB10,Qwen2.5-7B,256,8.60e+02,87.6%,103.0%,101.3%,82.8%,94.3%,99.4%,105.3%
GB10,Qwen2.5-7B,512,1.09e+03,86.6%,97.4%,95.6%,84.3%,93.6%,99.6%,98.9%
GB10,Qwen2.5-7B,1024,1.93e+03,91.5%,96.2%,93.3%,84.4%,90.1%,94.2%,97.4%
GB10,Qwen2.5-7B,2048,3.97e+03,91.4%,95.5%,98.5%,86.2%,88.7%,96.7%,97.9%
GB10,Qwen2.5-7B,4096,7.73e+03,93.9%,98.2%,95.8%,84.5%,91.8%,96.1%,98.6%
GB10,Qwen2.5-7B,8192,1.52e+04,90.2%,92.8%,94.4%,83.9%,90.0%,95.7%,95.0%
GB10,Qwen2.5-7B,16384,3.16e+04,94.2%,97.0%,93.8%,86.5%,92.8%,94.7%,90.2%
GB10,Qwen2.5-14B,64,7.21e+02,78.4%,89.8%,84.4%,70.5%,65.9%,88.5%,82.4%
GB10,Qwen2.5-14B,128,7.72e+02,78.1%,91.9%,88.6%,73.5%,68.2%,91.3%,88.2%
GB10,Qwen2.5-14B,256,8.75e+02,79.9%,90.6%,89.2%,77.3%,71.4%,91.1%,86.5%
GB10,Qwen2.5-14B,512,1.18e+03,88.7%,93.6%,92.4%,84.2%,79.5%,91.1%,91.8%
GB10,Qwen2.5-14B,1024,2.08e+03,94.5%,90.7%,91.4%,83.3%,78.2%,90.4%,91.2%
GB10,Qwen2.5-14B,2048,4.21e+03,94.5%,93.0%,93.2%,85.4%,78.1%,93.0%,91.1%
GB10,Qwen2.5-14B,4096,8.44e+03,96.9%,93.0%,92.8%,84.4%,80.0%,92.2%,93.3%
GB10,Qwen2.5-14B,8192,1.70e+04,94.7%,94.1%,93.8%,86.2%,81.6%,92.9%,92.4%
GB10,Qwen2.5-14B,16384,3.34e+04,93.5%,92.7%,92.2%,85.6%,79.8%,91.1%,91.7%
