"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted","actual_accuracy","n_items","error","abs_error","squared_error"
"Kquant03/Ryu-4x7B-MoE-bf16",0.612819574484778,0.435594678882997,30,840,0.633333333333333,0.612059805638536,0.62085308056872,844,-0.00803350608394204,0.00803350608394204,6.45372200007338e-05
"ledjo/Gabriel-8x7B-Instruct-v0.1",0.564941257542667,-0.0356086093469504,35,840,0.6,0.563416964392348,0.661137440758294,844,-0.096196183215627,0.096196183215627,0.00925370566525447
"LeroyDyer/Mixtral_AI_128k",0.548037445207917,-0.177166372694342,41,840,0.634146341463415,0.543618841019587,0.574644549763033,844,-0.0266071045551161,0.0266071045551161,0.000707938012806878
"LeroyDyer/Mixtral_AI_128k_b",0.553139386141562,-0.123553984102069,37,840,0.72972972972973,0.54500259571471,0.586492890995261,844,-0.033353504853699,0.033353504853699,0.00111245628602572
"LeroyDyer/Mixtral_AI_128k_bioMedical",0.551755929270397,-0.141968731478354,38,840,0.684210526315789,0.545480025669742,0.591232227488152,844,-0.039476298217755,0.039476298217755,0.00155837812097713
"LeroyDyer/Mixtral_AI_base_128k",0.555280813474721,-0.0983159558865543,35,840,0.714285714285714,0.548367556917722,0.595971563981043,844,-0.040690750506322,0.040690750506322,0.00165573717676774
"LeroyDyer/Mixtral_AI_Cyber_2.0",0.561083971079083,-0.0350083226484873,30,840,0.7,0.555938932970901,0.537914691943128,844,0.023169279135955,0.023169279135955,0.0005368154956798
"LeroyDyer/Mixtral_AI_Cyber_3.0",0.553848580687172,-0.104194307773814,31,840,0.580645161290323,0.55282176486678,0.56042654028436,844,-0.00657795959718799,0.00657795959718799,4.32695524622376e-05
"LeroyDyer/Mixtral_AI_Cyber_3.1_SFT",0.555042759252332,-0.110745797935321,35,840,0.685714285714286,0.549361388536595,0.554502369668246,844,0.000540389584086087,0.000540389584086087,2.92020902588734e-07
"LeroyDyer/Mixtral_AI_Cyber_3.m1",0.730361023126043,2.23205745137768,500,840,0.694,0.78383311595846,0.72867298578199,844,0.00168803734405298,0.00168803734405298,2.84947007491745e-06
"LeroyDyer/Mixtral_AI_Cyber_3.m2",0.620274950793958,0.498208705543274,30,840,0.666666666666667,0.618556739094969,0.632701421800948,844,-0.01242647100699,0.01242647100699,0.000154417181687563
"LeroyDyer/Mixtral_AI_Cyber_4.0",0.563636474380343,-0.0129305843283442,30,840,0.666666666666667,0.559820541332701,0.59478672985782,844,-0.031150255477477,0.031150255477477,0.000970338416312083
"LeroyDyer/Mixtral_AI_Cyber_5.0",0.58662844502685,0.21122949481834,30,840,0.733333333333333,0.581194930645129,0.590047393364929,844,-0.00341894833807899,0.00341894833807899,1.16892077384531e-05
"LeroyDyer/Mixtral_AI_Cyber_Child",0.529182202171145,-0.387418697529786,42,840,0.69047619047619,0.520693044891932,0.565165876777251,844,-0.0359836746061061,0.0359836746061061,0.00129482483815812
"LeroyDyer/Mixtral_AI_Cyber_Matrix_2_0",0.526140314354395,-0.424517801041313,37,840,0.702702702702703,0.518004812027014,0.556872037914692,844,-0.030731723560297,0.030731723560297,0.000944438832986511
"LeroyDyer/Mixtral_AI_Cyber_MegaMind_3_0",0.56676837940053,-0.000137349075053751,30,840,0.633333333333333,0.564303010736352,0.58175355450237,844,-0.0149851751018399,0.0149851751018399,0.000224555472832804
"LeroyDyer/Mixtral_AI_CyberBrain_3_0",0.537985025812386,-0.278926680825564,46,840,0.652173913043478,0.531369548718393,0.552132701421801,844,-0.014147675609415,0.014147675609415,0.000200156725149236
"LeroyDyer/Mixtral_AI_CyberBrain_Coder",0.513158096230889,-0.55576463036837,43,840,0.767441860465116,0.499438896905831,0.484597156398104,844,0.028560939832785,0.028560939832785,0.000815727284131966
"LeroyDyer/Mixtral_AI_CyberCoder",0.437766501644884,-1.45206470731085,111,840,0.603603603603604,0.412515584885737,0.4739336492891,844,-0.036167147644216,0.036167147644216,0.00130806256871852
"LeroyDyer/Mixtral_AI_CyberTron",0.533503396636691,-0.342391626552717,44,840,0.704545454545455,0.524048810521132,0.555687203791469,844,-0.022183807154778,0.022183807154778,0.000492121299880378
"LeroyDyer/Mixtral_AI_CyberTron_Coder",0.544260255072116,-0.245976535950173,51,840,0.666666666666667,0.536348053562202,0.586492890995261,844,-0.0422326359231451,0.0422326359231451,0.00178359553701692
"LeroyDyer/Mixtral_AI_CyberTron_DeepMind_III_UFT",0.521321665812771,-0.482685014615241,33,840,0.696969696969697,0.514139032568435,0.550947867298578,844,-0.0296262014858071,0.0296262014858071,0.000877711814477638
"LeroyDyer/Mixtral_AI_CyberTron_Ultra",0.53325623313115,-0.33132469103602,45,840,0.666666666666667,0.525704699157442,0.554502369668246,844,-0.0212461365370959,0.0212461365370959,0.000451398317752923
"LeroyDyer/Mixtral_AI_CyberUltron_DPO",0.464945875512193,-1.07615918618008,95,840,0.673684210526316,0.438328235476835,0.476303317535545,844,-0.011357442023352,0.011357442023352,0.000128991489313802
"LeroyDyer/Mixtral_AI_LCARS_",0.513867298720141,-0.543878762124856,36,840,0.694444444444444,0.50578175488174,0.541469194312796,844,-0.027601895592655,0.027601895592655,0.000761864640307829
"LeroyDyer/Mixtral_AI_MasterTron",0.479085525949337,-0.926073600196602,82,840,0.658536585365854,0.4596726145085,0.482227488151659,844,-0.00314196220232199,0.00314196220232199,9.87192648082005e-06
