"X","a1","d","g","u"
"X426",6.73089334201285,-2.97442618652623,0.0959913792836861,1
"X427",1.08160338935505,3.30988974655725,0.00704524169582502,1
"X428",2.7432362872564,2.39036030741128,0.846453369615377,1
"X429",0.71317021460355,3.60425176330076,0.0191211391655401,1
"X431",0.803440391500534,4.8837640541322,0.161912449058806,1
"X432",10.0727708124773,-4.93771744590209,0.114663501994152,1
"X435",3.91282014774246,2.24683665219774,0.552306361566429,1
"X437",2.13317131357152,4.21118329954895,0.063613004116629,1
"X438",1.39649698896055,-0.658704639901244,0.290083339768039,1
"X440",3.99013535804811,1.36717846274293,0.307667679002741,1
"X442",1.4520194956551,4.87223691816814,0.014262601700825,1
"X446",-3.76451856937627,-13.3624031371121,0.000421425000026103,1
"X447",7.38020468736395,6.88677245290503,0.776615810274912,1
"X448",-0.621927190849611,-0.376799030603581,8.2224972680131e-05,1
"X449",2.26761244945146,-0.420475875281233,0.327309097687557,1
