file                                 , total          , up             , down           , avg_compute   , node_fail, full_recovery, stack1, stack2, stack3, stack4, stack5, stack6, stack7, stack8, stack9, stack10, stack11, stack12, stack13, stack14, stack15, stack16, stack17, stack18, stack19, stack20, stack21, stack22, stack23, stack24, stack25, stack26, recompute
run_2_dpr_exponential_N600_r4.log    ,  3528624.819242,  3113405.341791,   415219.477451, 2229988.879796,     11632,            58,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N600_r5.log    ,  4174279.956050,  3827262.843166,   347017.112884, 2600391.963050,     13404,            48,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N600_r6.log    ,  4846763.793658,  4551131.058602,   295632.735056, 2877367.204389,     15277,            42,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N600_r7.log    ,  5578313.310121,  5278947.101514,   299366.208607, 3165688.454291,     17043,            41,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N600_r8.log    ,  6330689.349888,  6035704.276790,   294985.073097, 3505413.300657,     18627,            42,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N600_r9.log    ,  7015697.397688,  6744056.505469,   271640.892220, 3665056.454878,     19877,            38,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N600_r10.log   ,  7764147.441858,  7478869.100784,   285278.341075, 3926852.341058,     21271,            39,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N600_r11.log   ,  8497138.936849,  8217950.510644,   279188.426205, 4097053.410137,     22594,            39,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N600_r12.log   ,  9184288.209077,  8928535.051929,   255753.157148, 4180882.668705,     23666,            36,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N600_r13.log   ,  9942566.803629,  9675563.795563,   267003.008066, 4469902.802054,     25069,            38,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N600_r14.log   , 10699431.042167, 10420019.604966,   279411.437201, 4722917.161098,     26420,            40,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N600_r15.log   , 11415438.632327, 11147917.092288,   267521.540039, 4770349.990792,     27008,            38,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N600_r16.log   , 12159647.574581, 11873804.448052,   285843.126528, 5035643.059502,     28389,            40,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N600_r17.log   , 12896819.569752, 12607232.484608,   289587.085144, 5203962.238560,     29484,            41,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N600_r18.log   , 13658461.473502, 13350312.614866,   308148.858635, 5439008.829049,     30903,            43,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N600_r19.log   , 14358562.432452, 14060931.533477,   297630.898975, 5399216.626941,     31518,            41,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N600_r20.log   , 15090570.393910, 14796055.466698,   294514.927212, 5614829.463278,     32285,            42,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N1000_r2.log   ,  3098776.952941,  1774662.716758,  1324114.236183, 1377047.127309,     10329,           189,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N1000_r3.log   ,  2889953.036239,  2414300.248302,   475652.787937, 1849790.909152,      9635,            68,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N1000_r4.log   ,  3414630.372335,  3118050.387908,   296579.984426, 2266343.678483,     11322,            41,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N1000_r5.log   ,  4084830.326358,  3846178.507113,   238651.819245, 2651485.137590,     13208,            34,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N1000_r6.log   ,  4789627.074705,  4581467.523041,   208159.551664, 2999255.051838,     15167,            30,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N1000_r7.log   ,  5471522.506657,  5311448.139658,   160074.366999, 3165409.522531,     16656,            23,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
run_2_dpr_exponential_N1000_r8.log   ,  6226992.322864,  6056042.436808,   170949.886056, 3544800.010733,     18273,            25,      0,      0,      0,      0,      0,      0,      0,      0,      0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,         0
